Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,513.85,337.89,511.31,327.64,491.0,587.25,489.23,737.04,422.4,462.29,319.82,670.62,498.51,470.64,459.22,395.85
2,514.17,336.32,511.23,327.63,489.73,585.8,491.83,736.74,422.43,466.08,319.5,670.79,498.76,471.69,459.49,397.35
3,514.17,335.71,510.85,327.83,488.28,585.76,491.84,736.05,422.5,468.11,318.55,671.34,498.78,471.53,458.9,398.26
4,513.07,335.31,510.35,328.11,487.61,585.82,492.24,735.91,422.66,469.33,317.71,671.4,498.77,471.43,458.52,398.72
5,511.88,334.54,509.12,328.17,487.51,585.83,494.27,735.13,422.79,469.91,317.7,671.23,496.25,470.93,455.65,398.69
6,511.74,334.32,508.08,328.19,487.44,585.51,495.06,734.43,422.52,469.67,317.71,670.9,494.33,470.69,454.03,398.67
7,510.91,334.18,507.29,328.17,487.18,584.64,495.75,733.69,422.18,469.24,317.72,670.43,493.59,469.65,454.13,398.6
8,510.61,334.19,506.98,328.12,486.74,583.83,496.49,732.75,421.39,469.02,317.65,669.84,492.79,467.05,452.94,398.45
9,510.52,334.21,506.97,328.19,486.69,583.41,497.06,732.15,421.0,468.88,317.29,669.58,492.33,466.49,452.6,398.43
10,510.4,334.23,506.82,328.34,486.71,583.15,497.48,731.68,420.77,469.06,316.4,669.56,492.27,466.32,452.27,398.4
11,509.41,334.08,506.41,328.4,486.72,583.16,497.41,731.62,420.07,469.11,315.29,669.58,491.81,465.9,451.47,398.38
12,507.44,333.49,506.4,328.45,486.74,583.17,497.33,731.55,419.71,469.13,314.49,669.6,490.62,464.96,450.67,398.29
13,506.81,333.47,506.13,328.53,486.75,583.18,497.24,731.59,419.29,469.35,314.14,669.67,489.89,463.05,450.07,398.23
14,506.95,333.58,505.77,328.61,486.8,583.22,496.82,731.62,418.83,469.57,313.99,669.73,489.3,460.88,449.59,397.87
15,506.89,333.65,505.04,328.73,486.83,583.29,496.13,731.63,418.33,470.1,313.19,669.76,488.83,459.42,447.82,397.5
16,505.99,333.45,504.66,328.93,486.84,583.33,495.23,731.66,417.57,471.0,312.24,669.8,488.4,458.82,446.29,397.32
17,505.81,333.38,503.75,329.09,486.77,583.34,495.13,731.79,417.04,471.58,311.73,670.09,487.94,456.74,445.15,396.87
18,504.83,333.26,502.96,329.61,486.65,583.37,495.13,731.82,416.94,472.1,311.23,670.35,487.77,456.07,444.47,396.87
19,502.54,332.67,502.49,330.38,486.54,583.39,494.94,731.84,416.9,472.63,310.45,670.38,487.45,455.98,442.87,396.89
