Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,511.31103515625,327.6426887512207,459.2150402069092,395.8500838279724,498.5137939453125,470.6429994106293,422.40431785583496,462.29410886764526,319.8157596588135,670.6237292289734,114.91,47.37,232.22,76.57,291.10064220428467,275.52226066589355,191.5733699798584,15.578381538391113,83.94889068603516
2,511.2313270568848,327.6311981678009,459.49384689331055,397.34675645828247,498.764533996582,471.6919577121735,422.4308109283447,466.08365178108215,319.4996452331543,670.7943177223206,115.58,51.36,229.13,76.54,387.98717880249023,367.2253875732422,255.11523056030273,20.761791229248047,112.11015701293945
3,510.85275650024414,327.8300786018372,458.9024162292481,398.2613682746887,498.7786102294922,471.52735590934753,422.5033378601074,468.11336517333984,318.5514450073242,671.3434839248657,115.03,55.03,228.27,76.35,484.4642858505249,458.3554058074951,318.65539741516113,26.108880043029785,139.70000839233398
4,510.3497314453125,328.1133198738098,458.5156345367432,398.71880292892456,498.77025604248047,471.432888507843,422.65843391418457,469.33362007141113,317.7093029022217,671.4001321792603,114.75,52.54,227.7,76.14,483.6221580505371,457.31816482543945,318.23383140563965,26.303993225097656,139.0843334197998
5,509.120979309082,328.16800475120544,455.6500911712647,398.6901247501373,496.2534713745117,470.9313905239105,422.7876663208008,469.9135887622833,317.700834274292,671.2290287017822,113.49,54.73,227.09,73.47,482.6915216445923,456.24580192565924,317.87747383117676,26.44571971893305,138.36832809448248
6,508.0759620666504,328.19024562835693,454.02883529663086,398.668817281723,494.3332099914551,470.68883299827576,422.5203609466553,469.66604232788086,317.70792961120605,670.900468826294,113.28,62.05,226.89,71.82,481.70805072784424,455.0525493621826,317.696382522583,26.65550136566162,137.3561668395996
7,507.2867774963379,328.17421674728394,454.1320323944092,398.602706193924,493.59323501586914,469.6480178833008,422.1800136566162,469.24015045166016,317.71785736083984,670.4340863227844,113.91,62.18,226.7,71.41,480.7792510986328,453.87032318115234,317.6128520965576,26.90892791748047,136.25747108459473
8,506.9843101501465,328.1230080127716,452.9361534118652,398.4476637840271,492.7905464172363,467.0472192764282,421.3855934143066,469.0189969539642,317.64598846435547,669.835159778595,112.3,62.12,226.03,71.43,480.2108516693115,453.19355392456055,317.352144241333,27.017297744750977,135.84140968322754
9,506.9728660583496,328.1857717037201,452.6045036315918,398.4269678592682,492.3259735107422,466.49444818496704,420.9975242614746,468.8778269290924,317.2916507720947,669.5762515068054,111.99,61.95,225.91,71.37,479.7887878417969,452.6817283630371,316.8680591583252,27.107059478759766,135.8136692047119
10,506.8208312988281,328.3364689350128,452.26624488830566,398.4008324146271,492.2696113586426,466.32160663604736,420.7680130004883,469.05961632728577,316.39729499816895,669.5633125305176,111.6,62.7,226.04,71.55,479.35416412353516,451.98906326293945,316.22225189208984,27.365100860595703,135.7668113708496
