Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,421.37,312.68,405.03,302.44,440.11,577.45,507.63,734.68,372.44,460.31,324.65,711.32,451.52,430.78,360.33,389.04
2,417.87,310.02,404.32,302.76,442.51,576.31,507.61,734.08,376.59,463.23,325.41,708.25,450.05,430.65,361.41,388.75
3,416.17,309.0,404.65,302.92,444.06,575.95,508.59,733.98,380.6,466.75,325.34,707.97,450.45,430.66,364.03,388.75
4,416.34,307.47,405.62,302.88,445.47,575.97,508.87,734.06,383.34,466.81,325.02,707.94,450.15,430.56,366.9,388.73
5,417.77,307.38,406.97,302.97,446.95,575.98,509.81,734.52,384.62,466.81,325.18,708.01,449.86,430.43,368.29,388.73
6,419.35,307.22,409.34,302.97,448.13,575.84,510.3,734.52,386.14,466.6,325.37,707.99,450.42,430.48,373.13,388.83
7,423.11,306.9,410.8,302.98,449.26,575.56,510.54,734.52,386.37,466.41,325.7,707.87,453.82,430.6,378.73,389.39
8,422.99,306.43,415.75,303.13,450.0,575.47,510.72,734.57,388.29,466.31,325.77,707.89,458.13,431.17,383.88,389.9
9,423.31,306.13,420.21,303.37,451.47,575.15,511.45,734.58,389.68,465.94,325.76,707.91,466.06,432.56,387.54,390.68
10,426.43,306.2,423.22,303.58,452.88,574.8,512.06,734.58,390.34,465.6,325.72,707.87,468.69,433.88,389.34,391.14
11,426.56,305.89,425.31,303.81,453.96,574.63,512.04,734.45,391.25,465.54,325.7,707.83,471.25,435.13,391.64,391.71
12,428.57,305.42,427.57,303.99,455.17,574.54,512.06,734.45,391.42,465.26,325.65,707.62,475.23,436.6,397.18,392.71
13,429.1,305.31,429.5,304.33,455.58,574.57,512.01,734.45,391.9,465.03,325.27,707.62,478.76,438.17,400.64,394.17
14,429.52,305.14,431.57,304.35,456.53,574.21,512.01,734.53,392.74,464.84,325.24,707.6,481.56,439.92,403.24,394.84
15,429.27,304.93,436.55,304.84,457.59,574.23,511.75,734.8,393.64,464.82,325.52,707.56,482.4,441.63,405.52,395.28
16,431.46,304.65,437.81,305.9,458.45,574.32,511.64,734.98,395.18,464.78,325.96,707.36,483.56,442.89,407.82,395.77
17,433.73,304.43,439.8,306.85,458.92,574.55,511.43,735.4,396.89,464.75,326.52,706.97,483.85,444.14,410.68,396.07
18,434.64,304.15,443.63,307.73,459.2,575.71,511.42,735.78,398.28,464.74,326.94,706.31,484.99,445.65,414.68,396.18
19,435.08,303.74,446.94,308.11,459.65,576.97,511.41,736.37,398.96,464.73,327.01,706.17,487.63,448.55,418.79,396.34
20,437.04,303.55,449.77,308.24,459.69,577.64,511.09,736.48,399.76,464.37,327.71,705.26,489.6,450.2,421.72,396.42
21,439.13,303.58,452.25,308.62,459.89,578.32,511.21,736.41,400.29,464.32,328.36,704.23,492.75,452.19,425.91,396.47
22,442.36,303.85,454.85,308.79,460.08,578.79,511.87,736.03,400.72,464.31,329.65,703.59,494.29,453.13,427.72,396.45
23,443.98,303.86,456.31,309.0,460.32,578.86,511.71,735.35,401.2,464.33,331.46,702.73,495.52,453.39,430.08,396.42
24,445.15,304.08,459.51,309.16,460.62,579.11,511.59,734.95,403.26,464.33,332.57,701.71,497.04,454.27,433.23,396.41
25,447.48,304.29,461.57,309.61,460.56,579.46,511.49,734.84,404.63,464.51,332.84,701.09,498.23,455.07,435.39,396.55
26,450.47,304.4,463.75,309.88,460.54,579.76,511.39,734.84,405.67,464.53,332.94,700.26,499.14,456.04,437.37,396.53
27,453.59,305.26,464.73,310.06,460.52,580.3,510.92,734.8,406.11,464.55,333.22,699.37,500.45,457.31,438.79,396.56
28,459.26,306.27,466.46,310.28,460.73,581.46,510.92,734.81,407.08,464.51,333.39,698.4,501.52,458.16,440.8,396.55
29,464.8,308.2,467.82,310.57,460.58,582.09,510.44,734.72,408.02,464.81,333.36,698.26,502.84,460.2,442.55,396.96
30,465.33,308.65,469.3,310.56,460.56,582.89,509.42,734.59,409.48,464.83,333.5,698.01,503.44,461.27,444.01,396.94
31,464.99,308.7,471.73,310.88,460.22,583.05,508.76,734.55,410.56,464.86,333.91,697.68,505.27,462.75,446.24,397.16
32,466.26,308.8,473.23,311.04,460.22,583.22,508.68,734.53,411.58,464.77,334.5,697.1,506.97,463.69,448.01,397.55
33,469.3,308.98,473.64,311.22,460.39,583.25,508.51,734.35,412.72,464.84,334.65,696.48,507.71,464.46,449.47,397.57
34,470.66,309.02,475.98,311.51,461.14,583.23,508.29,734.16,413.93,464.91,334.95,695.57,509.06,465.5,451.82,397.88
35,473.45,309.05,477.55,311.83,461.96,583.02,508.14,734.15,414.32,464.71,335.12,694.95,509.09,466.69,453.04,398.16
