Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,405.0275230407715,302.4384641647339,360.3281021118164,389.0411567687988,451.51848793029785,430.7815217971802,372.4364948272705,460.3097140789032,324.65389251708984,711.3160371780396,87.29,69.58,255.51,84.41,242.80017471313477,225.92493438720703,225.92493438720703,16.875240325927734,0.0
2,404.3196773529053,302.7588808536529,361.40639305114746,388.7506091594696,450.0540161132813,430.6467890739441,376.59024238586426,463.2291269302368,325.4131507873535,708.2479548454285,88.78,71.61,250.31,80.37,323.9239253997803,302.59328269958496,302.59328269958496,21.330642700195312,0.0
3,404.653673171997,302.91926622390747,364.0328121185303,388.7509310245514,450.4453182220459,430.6600177288056,380.5979347229004,466.7516183853149,325.34131050109863,707.96870470047,90.55,70.52,247.47,78.62,405.3185577392578,379.5176010131836,379.5176010131836,25.80095672607422,0.0
4,405.61875343322754,302.88273453712463,366.8992137908936,388.7338721752167,450.15028953552246,430.5605936050415,383.3417415618897,466.80527329444885,325.0152969360352,707.935037612915,92.4,74.58,248.08,76.01,406.1813621520996,382.25884437561035,382.25884437561035,23.922517776489258,0.0
5,406.9731616973877,302.97311425209045,368.2910442352295,388.72939825057983,449.8563480377197,430.4261827468872,384.6215915679932,466.81251525878906,325.177001953125,708.0128002166748,92.8,75.57,248.42,74.7,407.4774227142334,384.214879989624,384.214879989624,23.262542724609375,0.0
6,409.34154510498047,302.9733395576477,373.12806129455566,388.8250243663788,450.4219436645508,430.4788076877594,386.1427116394043,466.6041398048401,325.3678321838379,707.9921364784241,95.45,75.09,248.92,73.74,409.69688987731934,385.75293731689453,385.75293731689453,23.943952560424805,0.0
7,410.7999801635742,302.983478307724,378.7269401550293,389.3912816047669,453.8191223144531,430.6032085418701,386.3704204559326,466.4092826843262,325.69544792175293,707.8700852394104,98.39,80.87,248.97,76.36,412.6160202026367,387.02038192749023,387.02038192749023,25.595638275146484,0.0
8,415.7510089874268,303.1265473365784,383.8806438446045,389.8986375331879,458.1256771087647,431.1657321453095,388.2882213592529,466.3141071796417,325.7670021057129,707.889461517334,98.9,75.0,249.53,78.18,415.86567306518555,388.16400146484375,388.16400146484375,27.701671600341797,0.0
9,420.21440505981445,303.3653712272644,387.5394344329834,390.68076968193054,466.0573482513428,432.5552237033844,389.67896461486816,465.9385228157044,325.7559013366699,707.9106402397156,97.55,58.91,250.27,83.36,419.0599937438965,389.18539810180664,389.18539810180664,29.874595642089844,0.0
10,423.22142601013184,303.5849153995514,389.3396472930908,391.139942407608,468.6857700347901,433.8813078403473,390.3396892547608,465.6039762496948,325.72463035583496,707.8651928901672,97.15,62.24,250.73,84.52,422.4147148132324,390.19616889953613,390.19616889953613,32.21854591369629,0.0
11,425.3131484985352,303.8148558139801,391.6409683227539,391.71411752700806,471.2471866607666,435.1336848735809,391.2496948242188,465.54211378097534,325.6980800628662,707.8324913978577,97.65,42.85,251.0,85.58,425.1639919281006,390.91830253601074,390.91830253601074,34.245689392089844,0.0
12,427.5735855102539,303.98576617240906,397.1761894226074,392.71225333213806,475.2321910858154,436.5967547893524,391.4242744445801,465.2598059177399,325.6516170501709,707.6201891899109,100.43,47.29,251.13,88.57,427.4355525970459,391.5314826965332,391.5314826965332,35.904069900512695,0.0
13,429.4973945617676,304.332093000412,400.6423759460449,394.1722977161408,478.7614059448242,438.16922664642334,391.898889541626,465.0334703922272,325.2708148956299,707.6245021820068,101.58,8.75,251.57,90.92,430.1019229888916,392.19161224365234,392.19161224365234,37.91031074523926,0.0
14,431.572208404541,304.35105085372925,403.24487686157227,394.841068983078,481.5614891052246,439.92361664772034,392.74486541748047,464.83574867248535,325.2396869659424,707.5984311103821,102.54,55.39,251.97,92.24,432.60044288635254,392.9773406982422,392.9773406982422,39.62310218811035,0.0
15,436.5532779693604,304.8374855518341,405.5241966247559,395.2840840816498,482.402229309082,441.6257679462433,393.6403369903565,464.8164689540863,325.5234146118164,707.5620603561401,102.15,74.24,252.12,91.74,435.0458335876465,394.07061195373535,394.07061195373535,40.97522163391113,0.0
16,437.80574798583984,305.90028405189514,407.8165626525879,395.7747352123261,483.55716705322266,442.8923714160919,395.178337097168,464.7818684577942,325.9620666503906,707.3557448387146,103.43,86.13,252.26,91.05,437.8717403411865,395.3473949432373,395.3473949432373,42.52434539794922,0.0
17,439.8005390167236,306.854453086853,410.68236351013184,396.07136607170105,483.8528823852539,444.13631558418274,396.8906307220459,464.7518706321716,326.52482986450195,706.9660949707031,105.23,96.58,252.23,89.37,440.94604110717773,396.5904178619385,396.5904178619385,44.35562324523926,0.0
18,443.6269283294678,307.7269971370697,414.68090057373047,396.1764550209045,484.99380111694336,445.6473112106323,398.2828044891357,464.7409915924072,326.9445991516113,706.3068509101868,107.01,95.61,251.88,88.79,443.59007263183594,397.81479835510254,397.81479835510254,45.7752742767334,0.0
19,446.943712234497,308.1089222431183,418.7863540649414,396.3400268554688,487.6289176940918,448.5467684268952,398.9599800109863,464.73445773124695,327.0067405700684,706.166582107544,109.48,93.17,251.93,90.13,446.47938537597656,398.83761405944824,398.83761405944824,47.64177131652832,0.0
20,449.77343559265137,308.2355761528015,421.7220497131348,396.4168560504913,489.5994186401367,450.19774317741394,399.7622394561768,464.37187671661377,327.7071189880371,705.2596306800842,110.74,92.42,251.43,90.95,449.48888397216797,399.60399055480957,399.60399055480957,49.8848934173584,0.0
21,452.25231170654297,308.6155700683594,425.905237197876,396.47334337234497,492.75243759155273,452.1926951408386,400.2924156188965,464.31870460510254,328.3642673492432,704.2255425453186,113.12,92.55,250.46,93.25,452.02457427978516,400.1880798339844,400.1880798339844,51.83649444580078,0.0
22,454.8480319976807,308.7854826450348,427.721529006958,396.44798040390015,494.2857170104981,453.1292903423309,400.7225131988525,464.3103039264679,329.652156829834,703.5948801040649,113.22,92.39,249.62,94.23,454.5387554168701,401.0485610961914,401.0485610961914,53.49019432067871,0.0
23,456.3053798675537,309.0017759799957,430.0814437866211,396.4206862449646,495.5156135559082,453.3920931816101,401.20325088500977,464.3346047401428,331.4622688293457,702.7257800102234,114.35,93.12,248.38,94.95,456.8972797393799,402.0213088989258,402.0213088989258,54.8759708404541,0.0
24,459.5146179199219,309.1569793224335,433.2304573059082,396.4084231853485,497.036190032959,454.2708814144135,403.2623863220215,464.330677986145,332.56945610046387,701.7134499549866,115.44,89.55,247.69,94.31,459.19686698913574,403.0977973937988,403.0977973937988,56.099069595336914,0.0
25,461.5660572052002,309.60891008377075,435.390100479126,396.5485954284668,498.2252883911133,455.07052302360535,404.62597846984863,464.5127248764038,332.83578872680664,701.090898513794,116.21,90.51,247.23,94.07,461.1742172241211,404.17628288269043,404.17628288269043,56.997934341430664,0.0
26,463.7502479553223,309.884877204895,437.3664951324463,396.5345621109009,499.1407585144043,456.03840351104736,405.6748580932617,464.5305240154266,332.9384422302246,700.258104801178,116.99,91.85,246.69,93.85,463.2051258087158,405.3511390686035,405.3511390686035,57.853986740112305,0.0
27,464.7347831726074,310.05717158317566,438.7851905822754,396.5564489364624,500.45093536376953,457.3070025444031,406.11494064331055,464.55202460289,333.217134475708,699.3720102310181,117.87,92.49,245.88,94.61,464.8656463623047,406.30274963378906,406.30274963378906,58.562896728515625,0.0
28,466.45992279052734,310.2808678150177,440.8028697967529,396.5493357181549,501.518669128418,458.1585288047791,407.0775318145752,464.5147204399109,333.38513374328613,698.4025526046753,118.86,98.05,245.22,94.65,466.4128189086914,407.2737121582031,407.2737121582031,59.13910675048828,0.0
29,467.8172206878662,310.57241320610046,442.55069732666016,396.9636082649231,502.83891677856445,460.1989281177521,408.0204391479492,464.81428027153015,333.3603286743164,698.2626056671143,120.06,106.92,245.1,94.93,468.00931549072266,408.2516212463379,408.2516212463379,59.757694244384766,0.0
30,469.3019199371338,310.5637228488922,444.0087890625,396.9392108917236,503.4362983703613,461.2669086456299,409.48079109191895,464.8332381248474,333.5043239593506,698.0138039588928,120.95,94.48,245.25,94.02,469.70893478393555,409.34382247924805,409.34382247924805,60.3651123046875,0.0
31,471.7327308654785,310.88088870048523,446.2445068359375,397.1644842624664,505.2735328674317,462.7544403076172,410.5644035339356,464.86188411712646,333.909273147583,697.682797908783,121.56,86.25,245.12,94.73,471.14555740356445,410.4726104736328,410.4726104736328,60.67294692993164,0.0
32,473.2328796386719,311.03599548339844,448.0050659179688,397.5457656383514,506.9699478149414,463.6901664733887,411.5759468078613,464.77449774742126,334.4967842102051,697.1035695075989,122.03,85.97,244.78,95.4,472.77856063842773,411.6535835266113,411.6535835266113,61.124977111816406,0.0
33,473.6430358886719,311.21833205223083,449.4703674316406,397.5661075115204,507.71427154541016,464.4604218006134,412.721471786499,464.8436665534973,334.6469020843506,696.4799237251282,123.32,95.64,244.44,94.99,474.4281749725342,412.62182235717773,412.62182235717773,61.806352615356445,0.0
34,475.9822368621826,311.5073025226593,451.8204689025879,397.876353263855,509.0628433227539,465.4970848560333,413.9253044128418,464.9124813079834,334.9493408203125,695.5667924880981,124.12,93.03,243.8,95.14,475.89271545410156,413.3511772155762,413.3511772155762,62.54153823852539,0.0
35,477.549991607666,311.8326759338379,453.04450035095215,398.1629097461701,509.0929985046387,466.6945838928223,414.321985244751,464.706552028656,335.1151657104492,694.9487471580505,124.88,101.65,243.49,94.79,477.33013916015625,413.876615524292,413.876615524292,63.45352363586426,0.0
36,479.0554332733154,312.15190172195435,454.7802543640137,398.9091217517853,509.9348831176758,468.7372040748596,414.2111778259277,464.7000825405121,335.20877838134766,694.7553706169128,126.06,92.52,243.24,95.81,478.91722869873047,414.27297019958496,414.27297019958496,64.64425849914551,0.0
37,480.4199981689453,312.4936580657959,456.3217449188232,399.34988379478455,510.270881652832,470.3520977497101,414.2031383514404,464.6859526634216,335.198392868042,693.8758420944214,127.26,88.96,242.42,96.23,480.3391742706299,414.75164222717285,414.75164222717285,65.58753204345703,0.0
38,481.57848358154297,312.6490545272827,457.5359058380127,399.5598042011261,510.8434867858887,471.2879204750061,414.7032451629639,464.54983592033386,335.1118755340576,692.7205395698547,127.92,86.99,241.65,96.38,481.5786952972412,415.4356498718262,415.4356498718262,66.14304542541504,0.0
39,483.0919647216797,312.6428425312042,458.4521484375,399.5150327682495,511.3647079467773,471.4702248573303,416.3186645507813,464.53351736068726,334.77999687194824,691.6270995140076,127.84,86.24,241.29,95.3,482.5531997680664,416.3661689758301,416.3661689758301,66.18703079223633,0.0
40,483.74759674072266,312.6392698287964,459.02544021606445,399.2252576351166,511.6738128662109,471.24826669692993,417.7420234680176,464.3231463432312,334.0835666656494,690.5997061729431,127.9,87.26,241.25,94.19,483.3080406188965,417.5614356994629,417.5614356994629,65.7466049194336,0.0
41,483.9279556274414,312.63450622558594,459.42933082580566,399.2127048969269,512.4831390380859,471.5255856513977,418.86377334594727,464.212521314621,333.5296154022217,689.4966745376587,127.93,93.1,240.9,93.9,483.90288162231445,418.72828102111816,418.72828102111816,65.17460060119629,0.0
42,484.1942024230957,312.6294529438019,460.34048080444336,398.9943516254425,513.0710220336914,471.5656578540802,420.1794719696045,464.0501403808594,333.0458164215088,688.1913185119629,128.56,116.18,240.48,93.2,484.18200302124023,419.5986328125,419.5986328125,64.58337020874023,0.0
43,484.5526885986328,312.6167392730713,461.28424644470215,398.99956583976746,513.2390213012695,472.5188612937927,420.5374717712402,464.0148961544037,332.0758438110352,686.9261956214905,129.68,154.45,239.82,93.09,484.4178886413574,420.1725540161133,420.1725540161133,64.24533462524414,0.0
44,484.4875717163086,312.6127803325653,462.13342666625977,399.0016257762909,513.921947479248,473.23816537857056,420.6704235076904,464.01267528533936,329.70940589904785,686.0206604003906,130.59,108.46,239.92,93.71,484.7267875671387,420.54660987854004,420.54660987854004,64.18017768859863,0.0
45,484.9270248413086,312.5832974910736,462.3081779479981,398.9929354190826,514.376335144043,473.2414484024048,420.611629486084,464.1899263858795,327.156457901001,684.7780680656433,130.29,99.92,239.57,94.2,485.1257858276367,420.6683406829834,420.6683406829834,64.45744514465332,0.0
46,485.47245025634766,312.6454496383667,463.1831645965576,398.9725613594055,514.6379470825195,473.1754982471466,420.73405265808105,464.31200981140137,324.44735527038574,682.9588222503662,130.78,95.41,238.91,94.32,485.7373580932617,420.796594619751,420.796594619751,64.94076347351074,0.0
47,486.18919372558594,312.7511179447174,463.2203006744385,398.9782905578613,514.976634979248,473.14472794532776,420.7881259918213,464.3080508708954,322.481746673584,680.6409430503845,130.18,96.42,237.62,94.6,486.5677070617676,421.002685546875,421.002685546875,65.56502151489258,0.0
