Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,405.0275230407715,302.4384641647339,360.3281021118164,389.0411567687988,451.51848793029785,430.7815217971802,372.4364948272705,460.3097140789032,324.65389251708984,711.3160371780396,87.29,69.58,255.51,84.41,229.9768180847168,217.15346145629883,195.0816707611084,12.823356628417969,22.07179069519043
2,404.3196773529053,302.7588808536529,361.40639305114746,388.7506091594696,450.0540161132813,430.6467890739441,376.59024238586426,463.2291269302368,325.4131507873535,708.2479548454285,88.78,71.61,250.31,80.37,307.2286148071289,290.53330421447754,260.08473014831543,16.695310592651367,30.44857406616211
3,404.653673171997,302.91926622390747,364.0328121185303,388.7509310245514,450.4453182220459,430.6600177288056,380.5979347229004,466.7516183853149,325.34131050109863,707.96870470047,90.55,70.52,247.47,78.62,384.7550354003906,364.19151306152344,325.12013053894043,20.563522338867188,39.07138252258301
4,405.61875343322754,302.88273453712463,366.8992137908936,388.7338721752167,450.15028953552246,430.5605936050415,383.3417415618897,466.80527329444885,325.0152969360352,707.935037612915,92.4,74.58,248.08,76.01,386.46643352508545,366.7515048980713,325.26291847229004,19.71492862701416,41.48858642578125
5,406.9731616973877,302.97311425209045,368.2910442352295,388.72939825057983,449.8563480377197,430.4261827468872,384.6215915679932,466.81251525878906,325.177001953125,708.0128002166748,92.8,75.57,248.42,74.7,388.8465185165405,370.21561431884766,325.3193778991699,18.63090419769287,44.896236419677734
6,409.34154510498047,302.9733395576477,373.12806129455566,388.8250243663788,450.4219436645508,430.4788076877594,386.1427116394043,466.6041398048401,325.3678321838379,707.9921364784241,95.45,75.09,248.92,73.74,391.9410352706909,374.1851806640625,325.4045162200928,17.755854606628418,48.78066444396973
7,410.7999801635742,302.983478307724,378.7269401550293,389.3912816047669,453.8191223144531,430.6032085418701,386.3704204559326,466.4092826843262,325.69544792175293,707.8700852394104,98.39,80.87,248.97,76.36,395.4646224975586,378.31322479248047,325.5526371002197,17.151397705078125,52.76058769226074
8,415.7510089874268,303.1265473365784,383.8806438446045,389.8986375331879,458.1256771087647,431.1657321453095,388.2882213592529,466.3141071796417,325.7670021057129,707.889461517334,98.9,75.0,249.53,78.18,399.19430923461914,382.52294540405273,325.6621627807617,16.671363830566406,56.860782623291016
9,420.21440505981445,303.3653712272644,387.5394344329834,390.68076968193054,466.0573482513428,432.5552237033844,389.67896461486816,465.9385228157044,325.7559013366699,707.9106402397156,97.55,58.91,250.27,83.36,402.64276027679443,386.2255268096924,325.7282123565674,16.41723346710205,60.497314453125
10,423.22142601013184,303.5849153995514,389.3396472930908,391.139942407608,468.6857700347901,433.8813078403473,390.3396892547608,465.6039762496948,325.72463035583496,707.8651928901672,97.15,62.24,250.73,84.52,406.1650457382202,389.915376663208,325.719446182251,16.249669075012207,64.19593048095703
11,425.3131484985352,303.8148558139801,391.6409683227539,391.71411752700806,471.2471866607666,435.1336848735809,391.2496948242188,465.54211378097534,325.6980800628662,707.8324913978577,97.65,42.85,251.0,85.58,409.21585750579834,393.2677230834961,325.6202087402344,15.948134422302246,67.64751434326172
12,427.5735855102539,303.98576617240906,397.1761894226074,392.71225333213806,475.2321910858154,436.5967547893524,391.4242744445801,465.2598059177399,325.6516170501709,707.6201891899109,100.43,47.29,251.13,88.57,411.9221820831299,396.40881156921387,325.51696586608887,15.513370513916016,70.891845703125
13,429.4973945617676,304.332093000412,400.6423759460449,394.1722977161408,478.7614059448242,438.16922664642334,391.898889541626,465.0334703922272,325.2708148956299,707.6245021820068,101.58,8.75,251.57,90.92,414.87382221221924,399.6457214355469,325.47672271728516,15.228100776672363,74.16899871826172
14,431.572208404541,304.35105085372925,403.24487686157227,394.841068983078,481.5614891052246,439.92361664772034,392.74486541748047,464.83574867248535,325.2396869659424,707.5984311103821,102.54,55.39,251.97,92.24,417.7406415939331,402.8808403015137,325.52952003479004,14.859801292419434,77.35132026672363
15,436.5532779693604,304.8374855518341,405.5241966247559,395.2840840816498,482.402229309082,441.6257679462433,393.6403369903565,464.8164689540863,325.5234146118164,707.5620603561401,102.15,74.24,252.12,91.74,420.3139543533325,405.58207511901855,325.70416259765625,14.731879234313965,79.8779125213623
16,437.80574798583984,305.90028405189514,407.8165626525879,395.7747352123261,483.55716705322266,442.8923714160919,395.178337097168,464.7818684577942,325.9620666503906,707.3557448387146,103.43,86.13,252.26,91.05,423.1307601928711,408.38978004455566,326.03891944885254,14.74098014831543,82.35086059570312
17,439.8005390167236,306.854453086853,410.68236351013184,396.07136607170105,483.8528823852539,444.13631558418274,396.8906307220459,464.7518706321716,326.52482986450195,706.9660949707031,105.23,96.58,252.23,89.37,426.2220582962036,411.4980754852295,326.39233016967773,14.723982810974121,85.10574531555176
18,443.6269283294678,307.7269971370697,414.68090057373047,396.1764550209045,484.99380111694336,445.6473112106323,398.2828044891357,464.7409915924072,326.9445991516113,706.3068509101868,107.01,95.61,251.88,88.79,429.1638593673706,414.7376461029053,326.8290710449219,14.426213264465332,87.9085750579834
19,446.943712234497,308.1089222431183,418.7863540649414,396.3400268554688,487.6289176940918,448.5467684268952,398.9599800109863,464.73445773124695,327.0067405700684,706.166582107544,109.48,93.17,251.93,90.13,432.4173831939697,418.3553810119629,327.3095111846924,14.062002182006836,91.04586982727051
20,449.77343559265137,308.2355761528015,421.7220497131348,396.4168560504913,489.5994186401367,450.19774317741394,399.7622394561768,464.37187671661377,327.7071189880371,705.2596306800842,110.74,92.42,251.43,90.95,435.62604904174805,421.7632141113281,327.9349765777588,13.862834930419922,93.82823753356934
21,452.25231170654297,308.6155700683594,425.905237197876,396.47334337234497,492.75243759155273,452.1926951408386,400.2924156188965,464.31870460510254,328.3642673492432,704.2255425453186,113.12,92.55,250.46,93.25,438.4339485168457,424.84332275390625,328.83851051330566,13.590625762939453,96.00481224060059
