Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,525.83,456.81,511.25,492.41,496.67,763.94,530.36,939.55,415.51,642.21,270.92,879.71,495.78,686.15,452.79,590.6
2,526.18,457.78,511.34,492.37,496.63,763.94,531.92,939.55,422.32,645.38,272.56,879.57,495.58,683.13,451.17,588.98
3,528.49,459.79,509.46,491.86,496.67,763.43,533.21,939.09,421.74,645.27,273.21,878.47,495.18,682.86,449.48,587.5
4,530.66,460.51,509.05,491.83,496.66,762.77,533.68,939.08,421.49,645.4,273.75,878.07,495.11,682.42,449.06,587.42
5,532.01,460.87,508.76,491.55,496.67,761.93,534.13,939.08,421.58,645.34,274.21,877.49,494.41,682.11,449.1,587.46
6,532.49,460.81,508.72,491.27,496.73,761.66,534.55,939.23,422.76,645.29,274.39,876.58,493.51,682.17,449.23,587.48
7,532.43,460.78,509.73,491.24,496.75,761.59,535.45,939.07,425.12,645.18,274.44,875.76,493.07,682.21,450.29,587.48
8,532.3,460.4,509.74,490.96,496.89,761.18,536.96,938.24,425.34,644.5,274.24,875.21,492.92,681.99,450.3,586.95
9,531.91,459.23,510.09,491.01,496.92,760.91,537.7,936.93,425.13,644.14,274.13,874.84,492.77,681.85,450.45,586.92
10,532.02,459.01,510.13,491.55,497.11,760.25,538.02,935.57,425.02,643.87,273.85,874.13,492.45,681.87,450.46,586.93
11,533.08,459.04,509.98,491.53,497.21,759.46,537.92,935.1,424.98,642.78,273.8,873.66,492.21,681.8,450.48,586.93
12,533.0,458.86,510.04,491.36,497.26,758.9,537.96,934.49,424.86,642.43,273.73,873.51,492.1,681.64,450.46,586.76
13,531.38,456.27,511.21,491.33,497.26,758.66,537.93,934.26,424.76,641.7,273.72,873.44,492.06,681.64,450.85,586.47
14,529.41,454.34,512.73,491.33,497.18,758.66,537.94,934.01,425.2,641.74,273.71,873.26,492.05,681.66,452.4,586.48
15,528.89,452.85,513.49,491.33,497.19,758.08,538.07,933.78,425.58,641.56,273.71,872.98,492.02,681.68,452.82,586.2
16,528.1,450.86,514.28,491.65,497.1,757.93,538.06,933.29,425.63,641.56,273.72,872.3,491.78,681.69,453.83,586.19
17,527.89,450.72,514.48,491.83,497.04,757.82,538.13,933.09,425.61,641.64,273.73,871.99,491.67,681.71,454.31,586.19
18,527.91,450.73,514.43,491.85,496.61,757.83,538.18,933.12,425.17,641.66,273.79,871.72,491.52,681.7,454.29,585.86
19,528.61,450.91,513.91,492.0,496.35,757.75,538.61,933.13,423.99,641.75,273.85,871.46,491.29,681.52,452.92,585.4
20,530.96,451.89,512.72,491.96,496.22,757.72,538.62,933.15,422.94,641.79,273.89,871.16,491.03,681.05,451.25,584.74
21,531.46,451.98,512.69,491.95,496.2,757.55,538.98,933.14,422.23,641.59,274.04,870.9,490.99,680.57,450.36,584.36
22,530.97,451.87,512.84,491.87,496.15,757.66,539.65,932.45,422.15,641.43,274.18,870.56,490.99,680.39,450.17,583.69
23,532.83,452.99,511.97,491.59,495.96,757.5,539.91,932.22,421.6,640.88,274.52,870.14,490.61,680.39,450.03,583.64
24,533.8,453.0,511.84,491.92,495.83,757.43,539.38,932.1,421.44,640.07,274.64,869.64,490.38,680.31,450.1,583.65
25,535.43,453.32,510.99,491.92,495.83,757.29,539.54,931.54,421.29,639.11,274.87,869.3,490.32,680.27,450.28,583.69
26,537.13,453.8,509.91,491.72,495.79,757.0,539.64,931.25,421.2,637.3,274.94,868.83,490.07,680.28,450.31,583.61
27,537.97,454.11,509.45,491.61,495.84,756.22,539.93,931.05,421.21,635.93,274.96,868.6,489.82,680.23,450.32,583.45
28,538.38,454.22,509.44,491.38,495.98,755.6,539.95,929.68,421.21,634.98,275.03,868.06,489.75,680.21,450.33,583.39
29,538.7,454.21,509.46,491.11,495.98,755.56,540.14,930.08,421.34,633.6,275.23,867.35,489.53,680.25,450.34,583.05
30,538.66,453.72,509.74,490.94,496.04,755.51,540.96,930.02,421.98,633.82,275.27,866.69,488.8,680.23,450.29,582.85
31,538.63,453.22,510.04,490.79,496.09,755.34,541.17,929.62,422.04,633.42,275.27,866.05,488.48,680.15,450.53,582.85
