Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,511.25484466552734,492.40819215774536,452.788667678833,590.6021475791931,495.7817459106445,686.1508870124817,415.5060195922852,642.2098016738892,270.9159278869629,879.7115349769592,125.0,169.68,278.05,91.52,306.41032791137695,251.91230964660647,251.91230964660647,54.49801826477048,0.0
2,511.33501052856445,492.36631751060486,451.1743068695069,588.9765357971191,495.5781555175781,683.1337881088257,422.318286895752,645.3774690628052,272.55563735961914,879.567596912384,122.84,173.04,277.98,82.42,408.22063064575195,336.21002197265625,336.21002197265625,72.0106086730957,0.0
3,509.46178436279297,491.8591547012329,449.4839859008789,587.5030374526978,495.18293380737305,682.8600096702576,421.7372417449951,645.2739572525024,273.2108974456787,878.4657883644104,122.3,179.08,276.48,82.5,509.9725456237793,420.52566146850586,420.52566146850586,89.44688415527344,0.0
4,509.051513671875,491.8342745304108,449.0578079223633,587.4212837219238,495.1067733764648,682.4195051193237,421.488561630249,645.3983902931213,273.75454902648926,878.0657744407654,122.03,175.08,275.61,82.4,509.46557235717773,421.97666358947754,421.97666358947754,87.4889087677002,0.0
5,508.7595748901367,491.5547668933869,449.09560203552246,587.4597787857056,494.4071388244629,682.1139907836914,421.5781974792481,645.3383946418762,274.21091079711914,877.4903440475464,122.53,172.4,274.98,81.59,509.1449432373047,422.53618812561035,422.53618812561035,86.60875511169434,0.0
6,508.71997833251953,491.2725234031677,449.2265796661377,587.4794125556946,493.51261138916016,682.1667122840881,422.7610301971436,645.2884411811829,274.39249992370605,876.5794014930725,123.2,171.2,274.79,79.79,509.19962310791016,423.25646209716797,423.25646209716797,85.94316101074219,0.0
7,509.7318649291992,491.2359917163849,450.2915382385254,587.4756145477295,493.0708694458008,682.2068166732788,425.115909576416,645.1808094978333,274.44045066833496,875.7615423202515,124.0,172.11,275.45,77.39,509.4074020385742,423.98490715026855,423.98490715026855,85.42249488830566,0.0
8,509.7351837158203,490.9618270397186,450.3029537200928,586.946017742157,492.923469543457,681.9893002510071,425.3386116027832,644.4992923736572,274.2364025115967,875.2132773399353,124.08,172.36,275.79,77.29,509.6820487976074,424.67233085632324,424.67233085632324,85.00971794128418,0.0
9,510.0904083251953,491.005665063858,450.4511547088623,586.9155693054199,492.77292251586914,681.8495464324951,425.130786895752,644.1410565376282,274.1271114349365,874.8386907577515,124.1,174.55,275.72,77.44,509.9343795776367,425.1160640716553,425.1160640716553,84.81831550598145,0.0
10,510.13280868530273,491.5474605560303,450.459337234497,586.9319200515747,492.4530601501465,681.8683433532715,425.0153160095215,643.8701105117798,273.85022163391113,874.1330337524414,124.11,175.27,275.45,77.41,509.99501037597656,425.0642280578613,425.0642280578613,84.93078231811523,0.0
11,509.981632232666,491.52811646461487,450.4793643951416,586.9346880912781,492.2054100036621,681.7960524559021,424.9796962738037,642.781240940094,273.803186416626,873.6561584472656,124.31,173.92,275.97,77.73,510.2895698547363,424.9478416442871,424.9478416442871,85.34172821044922,0.0
12,510.0350189208984,491.3564658164978,450.461311340332,586.76429271698,492.0992660522461,681.640784740448,424.8567295074463,642.433819770813,273.72791290283203,873.5057830810547,124.32,174.17,276.11,77.84,510.81824111938477,424.96166610717773,424.96166610717773,85.85657501220703,0.0
13,511.2079811096192,491.3330662250519,450.8507251739502,586.47216796875,492.0600700378418,681.6399478912354,424.7566795349121,641.6966843605042,273.71655464172363,873.4434700012207,124.2,179.99,276.62,78.26,511.4893226623535,425.0739212036133,425.0739212036133,86.41540145874023,0.0
14,512.7337646484375,491.3326156139374,452.4033451080322,586.4762878417969,492.0496559143066,681.6562986373901,425.1999092102051,641.7364025115967,273.7142944335937,873.264319896698,125.01,174.07,276.68,77.86,512.3492546081543,425.20299339294434,425.20299339294434,87.14626121520996,0.0
15,513.4882164001465,491.32527709007263,452.8223705291748,586.19948387146,492.0215034484863,681.6806960105896,425.5765914916992,641.5634965896606,273.7053394317627,872.9769587516785,125.08,171.48,276.8,77.62,513.2392501831055,425.3536205291748,425.3536205291748,87.88562965393066,0.0
16,514.2812919616699,491.65377259254456,453.8292217254639,586.1931109428406,491.7832374572754,681.6893863677979,425.625057220459,641.5643978118896,273.71692657470703,872.3029732704163,125.73,168.11,276.25,77.38,513.8844108581543,425.4359664916992,425.4359664916992,88.44844436645508,0.0
17,514.4849967956543,491.8256807327271,454.3133354187012,586.1862874031067,491.671314239502,681.7067670822144,425.6098651885986,641.6443490982056,273.73400688171387,871.987030506134,126.11,167.38,275.91,77.26,514.1190948486328,425.19449615478516,425.19449615478516,88.92459869384766,0.0
18,514.4337844848633,491.8542945384979,454.288330078125,585.8613967895508,491.5231704711914,681.7042565345764,425.1684093475342,641.6552925109863,273.7929153442383,871.7249035835266,126.16,167.35,275.4,77.5,513.9646797180176,424.6674098968506,424.6674098968506,89.29726982116699,0.0
19,513.9071846008301,491.9972026348114,452.9246520996094,585.4010009765625,491.29371643066406,681.5235614776611,423.9925575256348,641.7546844482422,273.8533115386963,871.4645147323608,125.1,168.71,274.42,78.17,513.6459503173828,423.98939323425293,423.98939323425293,89.65655708312988,0.0
20,512.7161407470703,491.9579994678497,451.2533855438232,584.7366070747375,491.0336494445801,681.0491967201233,422.9411602020264,641.7934370040894,273.8938808441162,871.1602878570557,124.03,173.55,273.54,78.6,513.3173446655273,423.2972717285156,423.2972717285156,90.02007293701172,0.0
21,512.6876449584961,491.9527852535248,450.3551387786865,584.3580937385559,490.9871864318848,680.5658197402954,422.2349739074707,641.5910482406616,274.04316902160645,870.9018301963806,123.1,174.0,273.03,79.03,512.8255233764648,422.5832176208496,422.5832176208496,90.24230575561523,0.0
22,512.841968536377,491.8686819076538,450.1705455780029,583.6924123764038,490.9947395324707,680.3898882865906,422.1492576599121,641.4266395568848,274.180212020874,870.5594944953918,122.8,173.14,272.76,79.11,512.411247253418,422.0719699859619,422.0719699859619,90.33927726745605,0.0
23,511.9746780395508,491.592071056366,450.02766609191895,583.6408495903015,490.609073638916,680.390145778656,421.5981388092041,640.8767008781433,274.5249652862549,870.1412630081177,123.3,177.2,272.38,79.52,512.0659217834473,421.7425231933594,421.7425231933594,90.32339859008789,0.0
24,511.8358039855957,491.9225943088532,450.1032829284668,583.6512780189514,490.37818908691406,680.3080701828003,421.4363193511963,640.0725531578064,274.6359443664551,869.6430158615112,123.44,178.05,272.49,79.82,511.5099906921387,421.5351734161377,421.5351734161377,89.97481727600098,0.0
25,510.9895133972168,491.9213712215424,450.2812671661377,583.6890006065369,490.32073974609375,680.2745962142944,421.2939262390137,639.1141676902771,274.86677169799805,869.3046069145203,124.0,179.02,272.82,80.37,510.83216857910156,421.34746170043945,421.34746170043945,89.48470687866211,0.0
26,509.9079895019531,491.7244863510132,450.3052711486816,583.6120104789734,490.0697135925293,680.2756261825562,421.1982250213623,637.2978830337524,274.9435615539551,868.8278603553772,124.67,175.69,273.85,81.18,510.3254814147949,421.27055740356445,421.27055740356445,89.05492401123047,0.0
27,509.4528579711914,491.6116082668304,450.31551361083984,583.4459280967712,489.8178291320801,680.2304363250732,421.2106990814209,635.9259009361267,274.9588680267334,868.5973405838013,125.02,174.2,274.82,81.67,509.84999084472656,421.2503242492676,421.2503242492676,88.59966659545898,0.0
28,509.4412422180176,491.3825047016144,450.3255844116211,583.3851599693298,489.7454452514648,680.2114462852478,421.2136173248291,634.9828362464905,275.0294780731201,868.0637526512146,125.13,173.65,275.13,82.11,509.6004524230957,421.38741302490234,421.38741302490234,88.21303939819336,0.0
29,509.4583511352539,491.1118805408478,450.3432369232178,583.0458498001099,489.5319557189941,680.250198841095,421.3351535797119,633.6023569107056,275.2283191680908,867.3537826538086,125.3,173.35,275.66,82.62,509.62772369384766,421.5564880371094,421.5564880371094,88.07123565673828,0.0
30,509.7418212890625,490.9448325634002,450.29128074646,582.8522157669067,488.80199432373047,680.234169960022,421.9793701171875,633.8244438171387,275.2727794647217,866.6901612281799,125.53,173.71,275.23,81.36,509.83978271484375,421.7754421234131,421.7754421234131,88.06434059143066,0.0
31,510.0443458557129,490.7906591892242,450.53114891052246,582.853889465332,488.4771537780762,680.1481676101685,422.0436000823975,633.4248161315918,275.271863937378,866.0458517074585,125.81,174.41,275.05,81.22,510.32680892944336,422.06121253967285,422.06121253967285,88.26559638977051,0.0
32,510.5131530761719,490.780166387558,450.4821968078613,582.2203946113586,488.2298469543457,679.9926424026489,422.30546951293945,632.9536056518555,275.39631843566895,865.3074288368225,125.6,175.66,274.9,80.99,511.0016899108887,422.3522186279297,422.3522186279297,88.64947128295898,0.0
33,511.8763732910156,490.868775844574,450.38437843322754,581.8052530288696,488.06264877319336,679.7270393371582,422.64246940612793,633.0478477478027,275.3874492645264,864.9335503578186,124.89,178.91,274.69,80.37,511.6183891296387,422.5723114013672,422.5723114013672,89.04607772827148,0.0
34,512.8327560424805,490.95632314682007,450.18144607543945,581.7990732192993,488.0210494995117,679.5016050338745,422.7901840209961,633.1320476531982,275.07880210876465,864.5048904418945,124.24,176.01,274.5,80.03,512.1723861694336,422.8594665527344,422.8594665527344,89.31291961669922,0.0
35,512.8253173828125,490.97476601600647,449.4650173187256,581.8599057197571,487.6604461669922,679.2103171348572,423.079833984375,633.2133507728577,275.0394058227539,863.3851861953735,123.7,175.55,273.67,79.29,512.6431732177734,423.2900619506836,423.2900619506836,89.35311126708984,0.0
36,512.8143310546875,490.9562909603119,449.183349609375,581.8528246879578,487.4014663696289,678.9694976806641,423.4793758392334,633.2496571540833,274.89827156066895,861.7251992225647,123.53,173.9,272.54,78.59,513.0943794250488,423.95158195495605,423.95158195495605,89.14279747009277,0.0
37,512.8670883178711,490.7905948162079,448.95944595336914,581.1504507064819,486.9185256958008,678.5597634315491,424.4584465026856,633.3057904243469,274.6792316436768,859.7570586204529,123.44,172.97,271.5,77.13,513.4836273193359,424.76746559143066,424.76746559143066,88.71616172790527,0.0
38,514.1324043273926,491.41462683677673,448.9629077911377,580.6847763061523,486.7793655395508,677.6223635673523,425.95006942749023,633.3462810516357,273.8924217224121,859.0915703773499,122.56,167.34,272.18,75.24,513.8667068481445,425.5289726257324,425.5289726257324,88.33773422241211,0.0
39,514.778995513916,491.4156246185303,448.9471435546875,580.221676826477,486.4715194702149,676.7260980606079,426.86960220336914,633.4380769729614,273.02364349365234,858.620810508728,122.2,164.21,272.72,73.66,514.1766586303711,426.28358459472656,426.28358459472656,87.89307403564453,0.0
40,514.7407150268555,491.41417622566223,448.8063526153565,580.1553082466125,486.1809539794922,675.5251550674438,426.8873691558838,633.453848361969,272.1177577972412,858.3988523483276,121.99,164.02,273.05,72.7,514.3206939697266,426.8290042877197,426.8290042877197,87.49168968200684,0.0
41,514.3640899658203,490.5297553539276,448.0168247222901,579.3332648277283,486.1463356018066,674.000608921051,427.2524356842041,633.4851980209351,270.5629348754883,857.7220344543457,121.3,165.08,273.56,71.48,514.0762481689453,426.91637420654297,426.91637420654297,87.15987396240234,0.0
42,513.5872650146484,490.1477336883545,447.6078414916992,579.3406677246094,486.1344337463379,672.9747605323792,427.18554496765137,633.3935952186584,269.4480800628662,856.2129378318787,121.14,166.27,273.0,71.0,513.4233055114746,426.7101573944092,426.7101573944092,86.71314811706543,0.0
43,512.9101753234863,489.7256720066071,446.585111618042,578.5999274253845,485.7405281066895,672.3085641860962,426.3869190216065,632.6844620704651,267.7975559234619,855.4919600486755,120.59,166.21,273.48,71.36,512.1435585021973,426.1021900177002,426.1021900177002,86.04136848449707,0.0
44,511.5142822265625,488.7482964992523,443.3055782318115,577.804856300354,485.47021865844727,671.8355512619019,425.8385181427002,632.5401377677917,266.8224906921387,854.9252200126648,118.4,168.5,273.39,71.41,510.4774932861328,425.1695365905762,425.1695365905762,85.30795669555664,0.0
45,508.3419799804688,488.2758951187134,442.137622833252,577.5897860527039,485.39886474609375,671.4157748222351,423.84753227233887,631.92711353302,264.6735191345215,854.6188688278198,118.7,175.17,273.73,73.13,508.3853874206543,423.89080238342285,423.89080238342285,84.49458503723145,0.0
46,506.0337638854981,487.4510836601257,441.42491340637207,577.611608505249,485.3657913208008,670.880126953125,422.589168548584,631.793475151062,262.7061939239502,854.2251634597778,119.15,179.22,273.93,73.95,506.2642478942871,422.71166610717773,422.71166610717773,83.55258178710938,0.0
47,503.1267356872559,486.1284756660461,439.5306873321533,577.5097060203552,485.07116317749023,670.6736183166504,420.7918739318848,631.6683983802795,261.177921295166,853.955569267273,119.11,172.98,273.66,75.19,504.0734481811524,421.19325256347656,421.19325256347656,82.88019561767584,0.0
48,502.3044776916504,485.2561891078949,437.534065246582,577.1596455574036,484.3252372741699,670.3578686714172,420.49123764038086,631.6791486740112,259.22730445861816,853.3780145645142,118.17,170.96,274.15,74.64,502.2074890136719,419.7098751068115,419.7098751068115,82.49761390686035,0.0
49,500.5602836608887,484.83927726745605,435.0604248046875,576.7631721496582,483.6358451843262,670.1866364479065,418.2464504241944,631.5677189826965,257.45080947875977,852.6401710510254,117.06,168.5,273.36,75.94,500.60181427001953,417.62965393066406,417.62965393066406,82.97216033935547,0.0
50,499.0121841430664,484.9036502838135,433.5048294067383,576.755383014679,483.1247520446777,670.1006984710693,416.4306449890137,631.4450240135193,256.6248035430908,852.2140216827393,116.51,166.91,272.54,77.09,499.2652816772461,415.5201644897461,415.5201644897461,83.7451171875,0.0
51,498.0053901672363,484.8909687995911,432.3014831542969,576.5568566322327,482.321662902832,669.7260475158691,412.1880626678467,631.433629989624,255.71906089782715,851.6285490989685,116.14,166.81,270.13,79.91,497.96387100219727,413.45927810668945,413.45927810668945,84.50459289550781,0.0
52,496.4440727233887,484.8711097240448,431.2658500671387,576.5393471717834,481.6779327392578,669.599940776825,410.2444267272949,631.3523268699646,254.70179557800293,851.1730456352234,116.14,165.0,269.29,81.03,496.8914222717285,411.901668548584,411.901668548584,84.98975372314453,0.0
53,495.7974243164063,484.0989875793457,431.0583114624024,575.9102296829224,480.8322143554688,669.2948770523071,410.18680572509766,631.336362361908,253.5981845855713,850.5886030197144,116.75,164.16,269.43,80.2,496.1532783508301,410.7994022369385,410.7994022369385,85.3538761138916,0.0
54,495.1980400085449,484.14411306381226,430.9102535247803,576.1658549308777,480.7656097412109,669.16175365448,410.458402633667,631.3507175445557,252.3984146118164,850.0726532936096,116.87,165.14,269.86,79.83,495.615909576416,410.60208320617676,410.60208320617676,85.01382637023926,0.0
55,495.3214645385742,484.1744005680084,430.6297302246094,576.1733222007751,480.4702949523926,669.0092539787292,410.9193134307861,631.6441941261292,251.13261222839355,849.1842412948608,116.66,167.87,269.92,78.95,495.26136016845703,410.6664390563965,410.6664390563965,84.59492111206055,0.0
56,495.318546295166,484.3727660179138,429.6367263793945,576.0318303108215,480.15472412109375,668.5642433166504,411.2014675140381,632.1997332572937,250.116548538208,848.672411441803,115.74,170.49,269.83,77.95,494.81528091430664,410.78158378601074,410.78158378601074,84.0336971282959,0.0
57,494.67132568359375,484.4737350940704,429.2399597167969,575.939519405365,480.0127601623535,667.9006218910217,410.5662059783936,632.2169852256775,248.9663600921631,848.3688282966614,115.52,171.64,269.88,78.08,494.4097595214844,410.85118675231934,410.85118675231934,83.55857276916504,0.0
58,493.5670280456543,484.4875752925873,428.9728260040283,575.9370732307434,479.99693870544434,667.789192199707,410.76252937316895,632.2202038764954,247.50200271606445,848.3795142173767,115.71,171.34,270.89,77.84,493.97545623779297,410.85256004333496,410.85256004333496,83.12289619445801,0.0
59,493.1704330444336,484.5171868801117,428.9355182647705,575.9558057785034,480.0062942504883,667.7789568901062,410.80641746521,633.3226561546326,246.9301414489746,848.2102131843567,115.83,172.95,270.24,77.3,493.4935111999512,410.80127906799316,410.80127906799316,82.69223213195801,0.0
60,493.1499481201172,484.546251296997,428.9722537994385,575.7822561264038,480.025691986084,667.7812099456787,410.92617988586426,633.7934160232544,246.3105297088623,848.2138180732727,115.85,174.27,270.32,77.01,492.7697067260742,410.5184955596924,410.5184955596924,82.25121116638184,0.0
61,492.908821105957,484.6144223213196,428.4527778625488,575.7859253883362,480.2806663513184,667.8504753112793,410.9450626373291,633.83873462677,246.1061954498291,848.0932474136353,115.36,174.84,270.33,77.23,492.07529067993164,410.02646827697754,410.02646827697754,82.0488224029541,0.0
62,491.052303314209,484.6408474445343,428.0804443359375,576.3816976547241,480.5411911010742,668.2530641555786,409.1522884368897,632.5879669189453,246.03638648986816,848.0795359611511,115.81,172.77,270.27,79.8,491.1866455078125,409.28881645202637,409.28881645202637,81.89782905578613,0.0
63,490.0949478149414,484.59282517433167,427.1191692352295,577.0661115646362,480.5818176269531,668.260338306427,408.3023929595947,632.6222777366638,245.7558631896973,848.0875182151794,115.36,170.76,269.9,80.59,489.9693260192871,408.4372730255127,408.4372730255127,81.53205299377441,0.0
64,488.7272071838379,484.60389733314514,426.74142837524414,577.8739285469055,480.6427574157715,668.2824182510376,407.1181583404541,632.492823600769,245.3689670562744,848.0964660644531,115.59,168.57,269.53,81.77,488.7960548400879,407.6186943054199,407.6186943054199,81.17736053466797,0.0
65,487.06335067749023,484.61641788482666,426.8184757232666,580.3447580337524,480.6511688232422,669.2181444168091,406.6684627532959,632.4330854415894,245.0980281829834,848.1800222396851,116.61,165.49,269.54,82.62,487.9189224243164,407.0574645996094,407.0574645996094,80.86145782470703,0.0
66,487.04246520996094,484.6365988254547,426.8641376495361,581.6091084480286,480.7236099243164,669.5747709274292,406.8521690368652,632.530996799469,244.83773231506348,848.3547306060791,116.7,165.5,269.87,82.64,487.2454833984375,406.5233345031738,406.5233345031738,80.72214889526367,0.0
67,486.6666412353516,484.6321570873261,430.2769660949707,585.4087901115417,481.2786483764648,670.3097820281982,406.3461399078369,632.1640062332153,244.4124698638916,848.6585712432861,119.78,164.91,270.36,84.08,486.8543930053711,406.2340450286865,406.2340450286865,80.62034797668457,0.0
68,486.7277526855469,484.2586326599121,433.1667423248291,586.5998840332031,482.2481918334961,671.2074637413025,405.631742477417,631.5327000617981,244.00723457336423,848.8744139671326,122.26,165.38,270.85,86.28,486.3153419494629,405.5955047607422,405.5955047607422,80.7198371887207,0.0
69,486.77175521850586,483.7870359420776,437.2296524047852,588.5803842544556,483.51579666137695,671.9207167625427,405.6717109680176,631.2185597419739,243.5767936706543,849.2856931686401,125.65,167.96,271.71,87.84,484.2681770324707,403.67160415649414,403.67160415649414,80.59657287597656,0.0
70,484.3680953979492,483.79273295402527,439.0160465240479,590.8869981765747,486.0282897949219,672.0952320098877,403.4757614135742,630.5385231971741,243.1245803833008,849.6337580680847,126.98,166.49,271.51,92.42,482.18017387390137,401.56140518188477,401.56140518188477,80.6187686920166,0.0
71,476.806640625,483.4612441062927,438.3822727203369,592.6726412773132,489.13684844970703,671.9401574134827,397.232666015625,629.7861313819885,242.67754554748532,849.9137163162231,127.99,155.97,268.97,101.11,479.9296588897705,399.36451148986816,399.36451148986816,80.56514739990234,0.0
72,476.2266254425049,482.2043287754059,438.28983306884766,592.4672269821167,490.6911849975586,671.9252228736877,395.7951450347901,629.310736656189,242.2379493713379,850.2158832550049,127.61,152.31,269.03,104.03,477.3167209625244,397.1071586608887,397.1071586608887,80.20956230163574,0.0
73,475.4751777648926,481.1579132080078,438.5573101043701,592.7802085876465,491.4634323120117,671.828920841217,394.647274017334,629.5342397689819,241.76384925842285,850.3887248039246,127.91,150.12,268.61,105.65,474.66193771362305,394.83307456970215,394.83307456970215,79.8288631439209,0.0
