Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,583.5626220703125,369.50767993927,549.1964149475098,481.555609703064,598.1703758239746,568.9144921302795,527.7262687683105,518.4882760047913,400.74296951293945,744.9965143203735,133.67,152.84,259.67,86.63,339.1614189147949,329.4459114074707,240.75389671325684,9.715507507324219,88.69201469421387
2,580.7330703735352,370.3655791282654,549.1813087463379,485.0842809677124,595.854434967041,568.8926696777344,527.4950981140137,527.1909928321838,401.394739151001,746.1946249008179,135.51,141.78,252.71,80.08,451.95825576782227,439.08449935913086,321.0907402038574,12.873756408691406,117.99375915527344
3,580.088939666748,370.4707646369934,548.8518333435059,485.5954670906067,594.2888832092285,568.8369226455688,527.5202178955078,532.9099237918854,401.63177490234375,747.1071767807007,136.19,143.24,248.45,75.82,564.418041229248,548.526969909668,401.4191780090332,15.891071319580078,147.10779190063477
4,579.7754287719727,370.1339972019196,548.1929397583008,485.49723386764526,593.3621406555176,568.6238479614258,528.0035018920898,532.4361062049866,401.6842174530029,747.2462868690491,136.17,145.55,249.2,74.71,563.5763568878174,548.1314163208008,401.5971565246582,15.444940567016602,146.53425979614258
5,577.3855018615723,370.1507019996643,547.2123527526855,485.357061624527,592.5522422790527,568.5602474212646,527.7988815307617,531.726940870285,401.6421890258789,747.8396773338318,136.74,144.99,250.24,74.5,562.9230709075928,547.7405548095703,401.54679107666016,15.182516098022461,146.19376373291016
6,577.1235466003418,369.5583415031433,547.2186470031738,484.9792885780335,591.3938140869141,568.5803961753845,528.2755851745605,532.8534686565399,401.63286209106445,747.8510069847107,137.62,145.13,249.52,72.53,562.2078380584717,547.3955268859863,401.2358093261719,14.812311172485352,146.15971755981445
7,576.1545181274414,369.5604658126831,547.2270011901855,485.4702615737915,590.7984352111816,568.6163806915283,529.109058380127,532.4354302883148,401.14291191101074,747.9258728027344,138.33,147.37,250.62,71.52,561.4280490875244,547.1430358886719,400.7593002319336,14.285013198852539,146.38373565673828
8,574.661750793457,369.4699895381928,547.1266937255859,485.6389510631561,590.558967590332,568.6354994773865,529.1029930114746,532.4210107326508,400.0768661499024,748.0611848831177,139.04,145.83,251.29,71.33,560.874589920044,547.0476150512695,400.15342140197754,13.826974868774414,146.894193649292
9,573.2399940490723,369.4092535972595,546.9304847717285,485.5935037136078,590.5020904541016,568.6371731758118,527.6877593994141,532.0841789245605,399.3016719818115,748.0165100097656,139.56,145.17,251.22,72.68,560.2905464172363,546.9070472717285,399.50038146972656,13.383499145507812,147.40666580200195
10,572.3280143737793,369.3614888191223,546.7352485656738,485.23977398872375,589.8588752746582,568.8646030426025,527.0987892150879,531.9262719154358,398.6127948760986,747.8978705406189,140.27,144.67,251.3,72.82,559.7752819061279,546.7597389221191,398.84997367858887,13.015542984008789,147.90976524353027
11,571.9859504699707,369.5566999912262,546.5158081054688,485.2029526233673,589.4632530212402,569.075939655304,527.0023727416992,531.7360174655914,398.3676624298096,747.8858327865601,140.46,145.64,251.53,72.77,559.2776641845703,546.3689346313477,398.4066925048828,12.908729553222656,147.96224212646484
12,571.7384147644043,370.13293504714966,546.4904594421387,485.5211806297302,589.1792106628418,569.2588877677917,526.1235237121582,531.596360206604,397.8908729553223,747.8754043579102,140.65,146.21,251.44,73.45,558.8148136138916,545.8714256286621,398.0607662200928,12.943387985229492,147.81065940856934
13,571.6395950317383,370.2024900913239,545.1726722717285,485.54319620132446,588.786449432373,569.3846726417542,525.7990837097168,531.5826487541199,397.86046028137207,747.8722500801086,139.59,145.73,251.3,73.46,558.4130573272705,545.2964973449707,397.83191299438477,13.116559982299805,147.46458435058594
14,571.0990333557129,370.8125531673432,544.4429397583008,486.09310269355774,588.4723663330078,569.8706889152527,524.1930198669434,531.5514600276947,397.5720405578613,747.8840947151184,139.26,144.56,250.66,74.83,558.0453643798828,544.7316741943359,397.6282253265381,13.313690185546875,147.10344886779785
15,571.1850929260254,371.4615941047669,543.8606071472168,486.2079119682312,588.3237075805664,570.097861289978,523.0438613891602,531.3667094707489,397.4685287475586,747.9086208343506,138.68,144.58,250.32,75.9,557.7030601501465,544.1644592285156,397.5171318054199,13.53860092163086,146.6473274230957
16,571.1331367492676,371.7850041389465,543.6916923522949,486.1900806427002,588.3048248291016,570.1192331314087,522.6900100708008,531.0709798336029,397.3492240905762,748.3173251152039,138.52,144.68,250.81,76.35,557.4851360321045,543.8668899536133,397.4154968261719,13.618246078491211,146.4513931274414
17,571.1514472961426,372.3649728298187,543.6543846130371,486.17092967033386,588.3234214782715,570.1451754570007,522.4487686157227,531.1947047710419,397.33540534973145,748.7165021896362,138.41,144.66,250.94,76.53,557.4073734283447,543.7401695251465,397.4285202026367,13.667203903198242,146.31164932250977
