Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,346.98,300.05,313.06,303.26,345.11,411.45,368.97,481.59,307.58,370.91,266.83,457.57,349.0,380.19,322.38,347.2
2,347.85,300.17,313.32,302.61,345.08,411.51,369.39,484.07,306.07,370.43,267.13,457.32,349.04,380.22,323.42,347.39
3,348.32,300.52,313.66,302.17,345.12,411.45,369.66,484.62,305.11,370.26,267.17,457.12,349.31,380.69,324.28,347.8
4,348.42,300.7,314.9,302.19,345.29,412.0,369.04,484.49,305.17,370.26,267.98,457.1,349.52,380.75,325.29,348.05
5,349.49,300.97,316.79,302.58,345.82,413.44,369.57,485.18,306.72,370.59,269.31,457.29,351.19,381.23,326.98,349.01
6,350.81,301.07,319.13,303.77,347.59,414.46,370.52,485.59,308.17,371.01,271.25,457.69,354.24,383.12,329.14,351.39
7,352.22,301.89,320.71,305.16,349.38,415.97,370.56,485.89,310.24,371.84,272.45,458.1,355.34,384.53,330.46,353.17
8,353.37,302.37,322.43,305.84,350.34,417.35,370.76,487.28,312.52,372.55,273.55,458.76,356.59,385.59,331.65,353.57
9,354.33,302.48,323.98,306.29,350.95,418.15,371.15,487.64,314.15,373.13,274.86,459.33,357.85,386.07,332.81,353.7
10,355.93,302.47,325.41,306.45,351.47,418.56,371.7,488.39,315.75,373.62,277.57,459.44,359.15,386.31,334.28,353.82
11,356.83,302.29,327.14,306.35,352.19,418.64,372.13,488.6,317.5,373.67,279.02,459.39,360.59,386.27,335.38,353.51
12,357.53,301.85,328.97,306.29,352.58,419.29,372.95,488.45,319.76,373.7,279.92,459.38,362.12,386.07,336.79,353.44
13,358.46,300.93,330.55,305.41,353.32,419.57,374.34,488.15,321.59,373.64,280.58,458.54,362.97,385.47,337.92,351.29
14,359.89,300.41,331.39,304.34,353.59,419.34,375.39,488.04,323.1,373.1,281.12,457.22,364.01,384.59,339.14,349.17
15,361.38,300.17,332.29,303.66,353.27,419.76,375.5,488.7,325.24,372.68,281.17,457.11,365.65,384.31,340.77,348.61
16,362.2,299.99,332.49,303.41,353.06,419.77,375.92,488.64,324.46,372.15,281.12,457.06,366.47,383.64,341.83,348.29
17,362.64,299.95,332.47,303.37,353.04,419.66,376.28,488.57,323.8,371.75,280.75,456.97,366.68,383.15,342.13,348.41
18,362.9,299.93,332.24,303.32,352.95,419.56,376.62,488.58,323.53,371.61,280.51,456.95,367.16,382.85,342.07,348.51
19,363.22,299.87,332.13,303.34,352.92,419.5,376.98,488.6,323.37,371.52,280.51,456.96,367.53,382.54,342.09,348.56
20,363.6,299.87,332.27,303.35,353.64,419.44,377.36,488.41,323.41,371.51,280.69,456.97,368.05,382.51,342.56,348.57
21,363.93,300.17,332.05,303.54,355.03,419.41,377.86,488.11,323.2,371.52,280.9,457.16,367.93,382.42,342.32,348.59
22,363.64,301.0,331.88,303.55,356.61,419.38,378.38,488.02,323.04,371.58,280.94,457.57,367.54,382.43,342.02,348.62
