Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,313.0611038208008,303.2629108428955,322.375602722168,347.20412492752075,348.9999771118164,380.18853664398193,307.5765037536621,370.9127712249756,266.825008392334,457.5738716125488,153.06,100.04,95.76,42.45,191.0120620727539,194.01565551757812,160.224609375,3.0035934448242188,33.791046142578125
2,313.3184814453125,302.608859539032,323.4204864501953,347.3903775215149,349.0436553955078,380.2155303955078,306.0745620727539,370.4277849197388,267.1308898925781,457.3183965682984,154.74,100.13,95.22,44.07,255.03148078918457,259.07386016845703,213.8205680847168,4.042379379272461,45.253292083740234
3,313.6627578735352,302.16927766799927,324.28218841552734,347.8031587600708,349.30572509765625,380.6869125366211,305.1060104370117,370.2613162994385,267.1671485900879,457.1206855773926,155.83,99.89,94.78,45.41,319.4082088470459,324.46995544433594,267.6835021972656,5.061746597290039,56.78645324707031
4,314.9031639099121,302.1918296813965,325.29102325439453,348.047947883606,349.51942443847656,380.7455348968506,305.17358779907227,370.2643632888794,267.979793548584,457.0956230163574,156.23,100.68,94.46,45.57,320.69167709350586,325.82298278808594,268.5680923461914,5.131305694580078,57.25489044189453
5,316.78680419921875,302.57888317108154,326.98047637939453,349.0099811553955,351.1927032470703,381.2305212020874,306.7186546325684,370.589919090271,269.31467056274414,457.2947931289673,155.46,101.25,94.43,45.73,322.1350517272949,327.23108673095703,269.6327819824219,5.096035003662109,57.598304748535156
6,319.1306495666504,303.7696123123169,329.140739440918,351.3893151283264,354.2413330078125,383.11956882476807,308.1719970703125,371.0119915008545,271.2479591369629,457.6935195922852,153.53,104.12,94.22,47.63,323.7485694885254,328.70508575439453,270.90978240966797,4.956516265869141,57.79530334472656
7,320.71170806884766,305.16079902648926,330.4610061645508,353.1748080253601,355.3395462036133,384.5283937454224,310.239200592041,371.8393135070801,272.45433807373047,458.0961084365845,153.05,104.86,94.17,46.85,325.40770149230957,330.2087173461914,272.2850875854492,4.801015853881836,57.92362976074219
8,322.42794036865234,305.8432602882385,331.65218353271484,353.56844902038574,356.58763885498047,385.5856132507324,312.51745223999023,372.54844665527344,273.5521507263184,458.763484954834,153.03,104.86,94.61,45.96,327.0004825592041,331.66961669921875,273.935489654541,4.669134140014648,57.734127044677734
9,323.9763259887696,306.2878632545471,332.8091812133789,353.6964440345764,357.8513717651367,386.0683250427246,314.14844512939453,373.1320524215698,274.85631942749023,459.3304395675659,152.83,105.51,94.73,45.58,328.4248466491699,332.91741943359375,275.4889907836914,4.492572784423828,57.428428649902344
10,325.41011810302734,306.45480394363403,334.28497314453125,353.8220143318176,359.1473388671875,386.3119125366211,315.74615478515625,373.6219310760498,277.5666809082031,459.4382429122925,153.19,105.62,93.93,45.22,329.88341903686523,334.1835174560547,276.9819679260254,4.300098419189453,57.2015495300293
11,327.1352767944336,306.3455843925476,335.37975311279297,353.50680112838745,360.5858612060547,386.2689971923828,317.503604888916,373.6721420288086,279.01546478271484,459.3906497955322,152.34,105.92,93.96,44.89,331.32251358032227,335.43631744384766,278.3877410888672,4.113803863525391,57.04857635498047
12,328.9669418334961,306.2935495376587,336.79149627685547,353.440797328949,362.1236038208008,386.0702562332153,319.7638320922852,373.70123863220215,279.9192237854004,459.3828821182251,151.6,106.61,94.49,44.13,332.6976623535156,336.7033920288086,279.6410140991211,4.005729675292969,57.0623779296875
13,330.5548858642578,305.40653228759766,337.9161834716797,351.2867474555969,362.9673385620117,385.4690980911255,321.5936279296875,373.6446332931519,280.58101654052734,458.5380935668945,152.88,106.6,94.28,43.03,334.03478240966797,338.0007781982422,280.36108779907227,3.9659957885742188,57.63969039916992
14,331.39244079589844,304.3385624885559,339.1445541381836,349.172887802124,364.0055084228516,384.5876598358154,323.09837341308594,373.0971193313599,281.12268447875977,457.2159576416016,154.74,104.73,94.01,42.49,335.2157783508301,339.29175567626953,280.78182220458984,4.075977325439453,58.50993347167969
15,332.2943878173828,303.6615300178528,340.7719039916992,348.610782623291,365.652961730957,384.309139251709,325.23826599121094,372.6821708679199,281.167049407959,457.1069526672363,155.8,102.68,95.24,42.05,336.1000518798828,340.3592224121094,280.94750213623047,4.2591705322265625,59.411720275878906
16,332.490348815918,303.4064841270447,341.8346405029297,348.29477548599243,366.47499084472656,383.6361837387085,324.4622039794922,372.1460294723511,281.11913681030273,457.0560121536255,156.87,103.23,95.33,43.56,336.6836471557617,341.18990325927734,280.93425369262695,4.506256103515625,60.25564956665039
