Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
0,725.26,489.53,653.08,526.91,662.17,613.54,636.5,666.38,702.57,596.3,782.88,652.89,662.17,479.75,655.12,513.73
2,523.89,428.43,491.2,414.28,539.41,610.56,610.31,733.23,478.2,532.56,490.42,724.08,520.26,485.32,450.15,462.33
3,522.36,427.98,491.3,412.52,539.79,610.9,608.96,734.95,478.34,532.57,490.61,724.32,519.3,485.28,449.84,462.31
4,522.38,427.87,491.31,411.72,540.39,611.88,613.42,735.08,479.04,532.67,490.69,724.47,517.58,485.18,449.81,462.3
5,524.6,428.06,491.65,411.51,540.6,612.54,617.11,734.78,479.08,532.69,490.9,724.55,517.65,485.32,449.99,462.17
6,527.09,428.48,491.92,411.38,541.26,612.9,618.67,733.36,479.76,532.73,490.91,725.36,517.72,485.58,450.26,461.99
7,527.88,428.88,492.71,411.36,542.39,612.96,620.57,732.36,480.04,532.79,490.94,725.47,517.65,486.64,450.54,461.98
8,530.45,429.34,494.27,411.39,543.94,612.93,622.17,731.81,480.67,532.75,490.94,725.47,517.67,487.96,452.08,461.88
9,530.18,429.48,497.06,411.33,544.25,612.92,623.83,731.74,480.75,532.39,490.97,725.46,517.95,488.62,454.15,461.88
10,531.07,429.83,498.23,411.34,544.26,612.38,624.62,731.75,481.06,532.17,490.94,725.48,518.47,488.69,455.69,461.84
11,533.2,430.45,498.39,411.49,545.43,612.28,625.96,731.77,482.56,531.96,490.8,725.41,518.74,489.33,456.38,461.84
12,536.3,431.8,498.68,411.52,545.82,612.38,626.4,731.78,484.38,532.0,490.72,725.12,518.73,490.1,456.57,461.57
13,536.65,431.67,501.38,411.49,547.37,612.48,627.26,731.8,486.05,530.8,490.72,724.86,518.12,491.18,457.84,459.29
14,537.32,431.64,502.48,411.49,548.78,612.47,628.44,731.45,487.0,530.05,490.72,724.65,519.03,493.78,458.56,459.14
15,539.82,432.1,502.58,411.66,549.21,612.54,630.07,731.13,487.77,530.32,490.73,724.63,519.26,494.64,459.25,459.01
16,540.58,432.12,503.27,411.68,549.73,613.38,632.85,731.16,494.04,532.8,490.78,724.55,519.23,494.93,459.85,458.97
17,541.25,432.08,503.58,411.85,549.89,613.36,634.06,730.96,493.25,532.78,491.17,724.54,519.55,495.25,460.74,459.0
18,540.64,431.9,505.01,411.92,549.97,613.39,634.73,730.62,493.45,532.76,491.53,724.54,520.16,495.9,462.51,459.13
19,540.21,431.19,508.03,411.92,551.69,613.32,634.96,730.33,494.6,532.56,491.91,724.54,521.61,496.24,463.99,459.18
20,542.12,430.74,508.55,411.92,551.85,613.14,635.88,730.36,496.38,532.43,492.35,724.46,522.61,496.99,464.87,459.35
21,543.63,430.2,510.16,411.99,551.9,612.45,636.54,730.37,498.48,532.36,492.64,724.42,523.31,497.01,466.01,459.56
22,543.42,429.5,512.69,411.99,552.24,612.3,636.3,730.66,503.28,532.11,492.6,724.5,525.11,498.28,468.36,459.89
