Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,461.7691612243652,420.0675344467163,440.65403938293457,472.81861424446106,513.918571472168,481.0878753662109,501.7714691162109,534.1334295272827,472.864408493042,722.3193168640137,74.62,54.59,190.39,54.42,279.3145694732666,299.99908447265625,299.99908447265625,-20.68451499938965,0.0
2,466.3399887084961,419.7042453289032,442.8043270111084,472.9857587814331,514.8700904846191,481.48396253585815,500.2470588684082,534.1633307933807,472.7215003967285,723.6079359054565,72.89,56.66,191.43,54.67,373.2389602661133,399.5713005065918,399.5713005065918,-26.332340240478516,0.0
3,468.4636974334717,419.5322728157044,444.556360244751,472.9811882972717,514.8718070983887,481.4599514007568,497.9768943786621,534.1660666465759,472.44189262390137,724.1395926475525,72.78,56.91,191.68,55.35,467.17403984069824,498.9656867980957,498.9656867980957,-31.79164695739746,0.0
4,469.6219539642334,419.44260120391846,444.5599365234375,472.987722158432,514.5895385742188,481.3292098045349,497.8610801696777,533.9606201648712,472.4462413787842,724.103672504425,71.71,56.55,191.83,55.23,468.854679107666,497.97853088378906,497.97853088378906,-29.123851776123047,0.0
5,469.6753978729248,419.47041034698486,444.4910144805908,472.7792823314667,513.6061477661133,480.0893211364746,496.97193145751953,533.734542131424,472.1729850769043,724.1648268699646,70.75,55.77,192.04,56.16,469.87296295166016,497.32046127319336,497.32046127319336,-27.447498321533203,0.0
6,470.1723575592041,419.5053005218506,444.7408676147461,472.016236782074,512.742919921875,477.47658133506775,496.8356895446777,532.0032942295074,471.77845001220703,724.3522810935974,68.75,54.96,193.97,56.8,470.5256996154785,497.16955947875977,497.16955947875977,-26.64385986328125,0.0
7,471.4314079284668,419.38424706459045,444.8451805114746,471.3655543327332,511.6497802734375,475.1646888256073,496.9567108154297,531.2585949897766,471.6005516052246,724.6449851989746,66.17,53.4,195.04,57.99,471.0171775817871,497.0528869628906,497.0528869628906,-26.035709381103516,0.0
8,471.7273807525635,419.3825089931488,445.0543212890625,471.0530555248261,511.5826034545898,474.6558201313019,497.2223854064941,531.1953806877136,471.6071033477783,724.6346855163574,65.8,54.13,195.13,58.33,471.7386131286621,497.1929512023926,497.1929512023926,-25.45433807373047,0.0
9,472.0793437957764,419.3822515010834,445.7644271850586,470.43880820274353,511.5111351013184,473.3863842487335,497.277717590332,530.9605801105499,471.6062450408936,724.8878645896912,65.3,54.2,195.62,59.31,472.37560272216797,497.50250244140625,497.50250244140625,-25.12689971923828,0.0
10,473.2825756072998,419.2217695713043,446.7046737670898,469.8323178291321,512.0440864562988,472.793025970459,497.6722526550293,530.6728649139404,471.6819763183594,725.118191242218,64.89,53.13,196.17,59.64,472.91213035583496,498.17818450927734,498.17818450927734,-25.266054153442383,0.0
11,473.3573055267334,419.2662513256073,447.45617866516113,469.7389125823975,512.4825668334961,472.8068339824677,498.3834457397461,530.5642032623291,471.9283103942871,725.223376750946,65.54,53.23,196.45,59.45,473.48523330688477,498.796085357666,498.796085357666,-25.31085205078125,0.0
12,474.11404609680176,419.2932879924774,448.6279106140137,469.7653377056122,513.365650177002,472.9167830944061,500.3351211547852,530.5848348140717,472.4614334106445,725.2187418937683,66.0,51.98,196.62,59.12,474.0967082977295,499.3959617614746,499.3959617614746,-25.299253463745117,0.0
13,474.5928955078125,419.1960847377777,449.5399761199951,469.5403218269348,514.1279411315918,472.42436170578,500.3118896484375,530.55499792099,472.6434516906738,725.2679872512817,66.1,51.94,196.67,59.75,474.76551246643066,500.03667068481445,500.03667068481445,-25.27115821838379,0.0
14,475.13671875,419.1860747337341,450.76294898986816,468.9369857311249,515.6493186950684,471.9083797931671,500.277099609375,530.5649435520172,472.66937255859375,725.3185200691223,66.52,52.63,196.7,60.64,475.55469131469727,500.6685562133789,500.6685562133789,-25.11386489868164,0.0
15,476.62659645080566,418.8904738426209,451.6066932678223,468.3504188060761,516.840991973877,471.5203392505646,500.8757972717285,529.9602556228638,472.695837020874,725.3112459182739,65.95,51.39,197.37,60.58,476.3653392791748,500.9011573791504,500.9011573791504,-24.535818099975586,0.0
16,477.3031997680664,418.5645532608032,451.3671684265137,468.24504017829895,516.6886711120605,471.58944368362427,501.5428733825684,529.9746751785278,472.71815299987793,725.2853679656982,65.36,51.23,197.43,60.32,477.6642093658447,501.2611541748047,501.2611541748047,-23.59694480895996,0.0
17,478.1672859191895,418.5512924194336,451.1835765838623,467.8971683979034,516.5774345397949,471.4489817619324,501.4981269836426,530.0405287742615,472.6724910736084,725.3973770141602,64.44,51.3,197.47,60.5,478.9622325897217,501.61470794677734,501.61470794677734,-22.652475357055664,0.0
18,481.0872459411621,418.45276951789856,451.23547554016113,467.2787690162658,516.5504264831543,471.36932015419006,502.111873626709,530.2343237400055,472.6639652252197,725.40851354599,62.14,49.98,197.38,60.61,480.19718170166016,501.91606521606445,501.91606521606445,-21.718883514404297,0.0
19,481.6268348693848,418.0400097370148,451.87877655029297,466.6111564636231,517.7354049682617,471.11140966415405,502.0448684692383,531.0526013374329,472.5864887237549,725.5454349517822,62.42,49.77,196.71,61.96,481.40785217285156,502.06444931030273,502.06444931030273,-20.656597137451172,0.0
20,482.8013420104981,417.54642963409424,451.8926525115967,466.0618937015533,518.1726264953613,470.7784724235535,502.38258361816406,531.1784183979034,472.6696300506592,725.5559277534485,61.57,48.37,196.64,62.43,482.5272102355957,502.1795768737793,502.1795768737793,-19.652366638183594,0.0
21,483.3565521240234,417.5379645824432,452.0211982727051,466.0555851459503,518.7808227539062,470.820701122284,502.28479385375977,531.6157364845276,472.6423645019531,725.7200145721436,61.23,50.81,196.35,62.99,483.079158782959,502.17348861694336,502.17348861694336,-19.094329833984375,0.0
22,483.76407623291016,417.32807636260986,452.3941040039063,465.97447514534,518.8607025146484,470.8251106739044,502.0737648010254,531.8629610538483,472.7296829223633,725.5679655075073,61.36,53.29,195.92,63.3,483.5149726867676,502.1191635131836,502.1191635131836,-18.604190826416016,0.0
23,483.8469886779785,417.3252761363983,452.5894832611084,465.3819537162781,518.785514831543,470.7291626930237,502.0814323425293,532.1107649803162,473.18615913391113,725.2765488624573,61.58,55.5,195.32,63.61,483.84717178344727,501.9671287536621,501.9671287536621,-18.119956970214844,0.0
24,483.8059043884277,417.3526990413666,452.7686405181885,464.9382305145264,518.778247833252,470.582263469696,501.77324295043945,532.2934556007385,473.2910442352295,725.0356006622314,61.77,55.06,194.84,64.01,484.15113830566406,501.6876640319824,501.6876640319824,-17.53652572631836,0.0
25,484.4623374938965,417.4070298671722,452.8545570373535,464.61926221847534,519.0241241455078,470.591436624527,501.62240982055664,532.7114295959473,473.2979965209961,724.8929500579834,61.36,55.16,194.26,64.51,484.4861183166504,500.975830078125,500.975830078125,-16.48971176147461,0.0
26,484.8763847351074,417.4108278751373,453.0430412292481,464.66387271881104,519.6010208129883,470.6645965576172,500.8874702453613,533.3242285251617,473.3012580871582,724.8394560813904,61.18,55.7,193.49,65.39,485.1477241516113,500.27292251586914,500.27292251586914,-15.125198364257812,0.0
