Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,461.7691612243652,420.0675344467163,440.65403938293457,472.81861424446106,513.918571472168,481.0878753662109,501.7714691162109,534.1334295272827,472.864408493042,722.3193168640137,74.62,54.59,190.39,54.42,272.4587574005127,265.6029453277588,283.6055603027344,6.855812072753906,18.002614974975586
2,466.3399887084961,419.7042453289032,442.8043270111084,472.9857587814331,514.8700904846191,481.48396253585815,500.2470588684082,534.1633307933807,472.7215003967285,723.6079359054565,72.89,56.66,191.43,54.67,363.8769464492798,354.5149326324463,378.0948085784912,9.362013816833496,23.579875946044922
3,468.4636974334717,419.5322728157044,444.556360244751,472.9811882972717,514.8718070983887,481.4599514007568,497.9768943786621,534.1660666465759,472.44189262390137,724.1395926475525,72.78,56.91,191.68,55.35,455.29358768463135,443.41313552856445,472.52940559387207,11.880452156066895,29.116270065307617
4,469.6219539642334,419.44260120391846,444.5599365234375,472.987722158432,514.5895385742188,481.3292098045349,497.8610801696777,533.9606201648712,472.4462413787842,724.103672504425,71.71,56.55,191.83,55.23,456.5425901412964,444.23050117492676,472.3122138977051,12.312088966369629,28.08171272277832
5,469.6753978729248,419.47041034698486,444.4910144805908,472.7792823314667,513.6061477661133,480.0893211364746,496.97193145751953,533.734542131424,472.1729850769043,724.1648268699646,70.75,55.77,192.04,56.16,457.2558174133301,444.638671875,472.0880241394043,12.617145538330078,27.449352264404297
6,470.1723575592041,419.5053005218506,444.7408676147461,472.016236782074,512.742919921875,477.47658133506775,496.8356895446777,532.0032942295074,471.77845001220703,724.3522810935974,68.75,54.96,193.97,56.8,457.6319818496704,444.7382640838623,471.9210662841797,12.893717765808105,27.182802200317383
7,471.4314079284668,419.38424706459045,444.8451805114746,471.3655543327332,511.6497802734375,475.1646888256073,496.9567108154297,531.2585949897766,471.6005516052246,724.6449851989746,66.17,53.4,195.04,57.99,457.9981698989868,444.9791622161865,471.75306701660156,13.019007682800293,26.77390480041504
8,471.7273807525635,419.3825089931488,445.0543212890625,471.0530555248261,511.5826034545898,474.6558201313019,497.2223854064941,531.1953806877136,471.6071033477783,724.6346855163574,65.8,54.13,195.13,58.33,458.5802536010742,445.4218940734863,471.6548652648926,13.15835952758789,26.23297119140625
9,472.0793437957764,419.3822515010834,445.7644271850586,470.43880820274353,511.5111351013184,473.3863842487335,497.277717590332,530.9605801105499,471.6062450408936,724.8878645896912,65.3,54.2,195.62,59.31,459.17027950286865,445.96495628356934,471.6848373413086,13.205323219299316,25.719881057739258
10,473.2825756072998,419.2217695713043,446.7046737670898,469.8323178291321,512.0440864562988,472.793025970459,497.6722526550293,530.6728649139404,471.6819763183594,725.118191242218,64.89,53.13,196.17,59.64,459.81681632995605,446.72150230407715,471.8570137023926,13.095314025878906,25.13551139831543
11,473.3573055267334,419.2662513256073,447.45617866516113,469.7389125823975,512.4825668334961,472.8068339824677,498.3834457397461,530.5642032623291,471.9283103942871,725.223376750946,65.54,53.23,196.45,59.45,460.5519332885742,447.6186332702637,472.0642833709717,12.933300018310547,24.445650100708008
12,474.11404609680176,419.2932879924774,448.6279106140137,469.7653377056122,513.365650177002,472.9167830944061,500.3351211547852,530.5848348140717,472.4614334106445,725.2187418937683,66.0,51.98,196.62,59.12,461.35752296447754,448.6183376312256,472.2769088745117,12.739185333251953,23.658571243286133
13,474.5928955078125,419.1960847377777,449.5399761199951,469.5403218269348,514.1279411315918,472.42436170578,500.3118896484375,530.55499792099,472.6434516906738,725.2679872512817,66.1,51.94,196.67,59.75,462.18212699890137,449.59874153137207,472.47968101501465,12.583385467529297,22.880939483642578
14,475.13671875,419.1860747337341,450.76294898986816,468.9369857311249,515.6493186950684,471.9083797931671,500.277099609375,530.5649435520172,472.66937255859375,725.3185200691223,66.52,52.63,196.7,60.64,462.9678153991699,450.3809394836426,472.6376495361328,12.586875915527344,22.256710052490234
