Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,617.06,430.82,597.9,423.38,581.88,631.06,632.99,739.04,564.9,543.16,499.48,719.45,612.41,530.45,562.08,483.12
2,620.88,430.82,598.96,424.06,533.31,628.74,543.67,743.45,555.77,542.21,589.53,724.62,612.84,531.24,562.82,483.21
3,621.36,431.03,600.26,424.06,531.39,626.11,552.86,742.54,554.26,541.52,594.07,725.28,613.44,532.06,563.75,483.21
4,622.61,432.45,601.48,424.19,529.91,626.33,538.02,743.41,553.83,541.5,594.42,726.35,613.62,532.97,563.84,484.11
5,623.1,432.46,604.08,424.22,562.82,629.14,620.44,743.13,555.0,541.25,505.82,721.21,613.98,533.4,564.25,484.32
6,622.91,432.43,605.85,424.22,552.86,630.84,574.5,743.08,555.69,541.01,543.37,724.88,614.82,533.86,565.35,484.38
7,622.84,431.75,607.84,424.05,578.01,630.8,626.29,742.92,556.95,541.02,497.63,719.62,615.13,534.04,566.66,484.36
8,622.65,431.38,609.29,424.07,582.32,630.02,632.2,742.75,558.57,541.14,493.11,716.93,615.27,534.48,567.69,484.82
9,625.08,431.47,610.14,424.59,580.75,630.01,631.53,742.41,559.15,541.82,492.6,716.18,615.53,534.59,568.84,485.11
10,626.75,431.49,610.02,425.04,581.72,627.75,633.45,742.33,559.16,541.71,492.5,715.32,616.04,534.83,570.19,485.72
11,627.38,431.44,612.2,425.52,579.9,627.82,632.84,742.29,559.19,541.72,491.55,714.56,617.95,535.32,572.03,486.04
12,627.38,431.22,612.9,425.76,579.3,627.87,629.42,742.41,559.21,541.92,490.48,713.96,619.32,536.03,573.46,486.73
13,628.34,431.36,613.06,425.75,562.71,631.36,587.1,744.77,559.11,541.99,492.39,713.49,620.24,536.54,574.21,487.13
14,628.47,431.3,614.32,425.8,578.01,628.32,620.79,744.74,559.21,541.99,489.41,711.74,620.69,536.74,574.81,487.37
15,630.34,432.06,613.86,426.21,587.97,627.56,627.34,744.64,559.22,541.98,487.97,710.44,620.91,537.46,575.6,487.99
16,630.38,432.21,613.74,426.41,592.24,626.74,630.73,744.47,559.48,541.98,485.67,709.97,621.55,538.37,576.63,488.79
17,632.56,433.23,612.94,426.69,594.36,625.18,633.22,743.52,559.48,541.28,483.69,709.38,622.28,539.22,577.49,489.67
18,633.54,433.76,612.84,426.75,595.32,624.35,633.48,742.58,559.63,540.84,482.56,708.54,622.84,539.9,578.36,489.96
19,635.6,434.07,612.61,426.94,596.38,623.49,633.81,742.03,559.64,539.89,482.03,707.55,623.16,540.83,578.65,490.7
20,635.56,434.09,612.54,427.04,597.36,622.94,634.05,741.34,560.17,539.72,481.29,706.55,623.76,541.47,579.18,490.85
21,635.94,434.13,612.59,427.33,597.55,623.13,633.77,741.23,560.36,539.82,480.1,706.17,623.79,541.74,579.52,491.27
22,636.95,434.25,612.62,427.4,597.02,623.21,633.89,741.23,560.69,539.8,479.4,705.41,623.83,541.83,580.4,491.48
23,636.97,434.56,612.86,427.91,596.7,623.26,634.28,741.22,560.94,539.83,478.23,704.64,623.99,541.77,581.15,491.52
24,636.7,434.55,615.22,428.78,597.84,623.51,634.88,741.22,563.37,540.15,477.63,703.91,624.23,541.74,582.38,491.57
25,635.15,433.83,617.57,429.14,599.39,623.55,635.62,741.28,564.81,540.32,477.04,703.44,624.35,541.68,582.71,491.55
26,635.84,433.83,617.16,429.15,600.23,623.57,635.95,741.28,564.59,540.21,475.75,703.13,624.56,541.66,582.54,491.56
27,638.23,434.23,617.06,429.2,601.36,623.24,635.84,741.17,564.45,539.93,475.43,702.76,624.69,541.62,582.34,491.56
28,638.39,434.23,616.73,429.19,602.13,622.59,635.79,741.05,564.32,539.56,475.15,702.44,624.71,541.6,582.24,491.61
29,638.97,434.55,615.58,429.2,602.09,621.34,636.2,740.75,563.92,536.91,474.65,702.12,624.8,541.59,582.43,491.7
30,640.42,435.13,615.24,429.23,602.56,621.0,638.04,740.7,563.34,536.38,474.4,701.85,624.81,541.52,582.37,491.77
31,641.28,435.48,614.76,429.36,602.86,620.91,638.76,740.71,563.05,536.11,473.71,701.68,625.1,541.37,582.3,492.09
32,642.49,436.0,614.66,429.69,603.27,620.71,638.94,740.93,562.98,535.94,473.64,701.45,625.09,541.3,582.25,492.44
33,642.99,436.21,613.89,429.81,603.25,620.72,638.77,740.96,562.88,535.72,473.66,700.87,625.08,541.2,582.08,493.3
34,642.69,436.34,614.0,429.89,603.55,620.56,638.67,741.0,562.88,535.58,473.53,700.22,624.96,541.15,582.08,493.27
35,643.02,436.93,614.03,430.03,603.83,620.35,638.75,741.01,562.86,534.99,473.32,699.68,624.92,541.05,582.01,493.26
36,643.38,437.27,614.02,430.11,604.1,620.18,638.91,740.87,562.83,534.57,472.89,699.2,624.92,541.05,581.97,493.34
37,643.51,437.62,614.02,430.33,604.61,620.08,638.94,740.83,562.83,534.51,472.56,698.84,624.92,540.97,581.92,493.41
38,643.53,437.68,614.07,430.48,604.56,620.09,638.93,740.82,562.86,534.54,472.25,698.76,624.92,540.96,581.9,493.5
39,643.75,437.66,614.06,430.61,604.48,620.12,638.93,740.81,562.93,534.66,471.98,698.77,624.95,540.95,581.74,493.71
40,643.68,437.42,614.15,430.78,604.52,620.13,639.01,740.54,563.66,535.25,471.87,698.68,625.07,540.95,581.86,493.99
41,642.91,437.29,614.22,430.77,604.69,620.08,639.18,740.45,563.84,535.32,471.77,698.57,625.16,540.96,581.86,494.15
42,642.88,437.23,614.22,430.79,604.69,620.09,639.33,740.39,563.95,535.34,471.75,698.31,625.31,540.99,581.91,494.35
43,642.91,437.23,614.2,430.81,604.68,620.09,639.52,740.33,563.95,535.39,471.76,698.14,625.68,540.99,581.92,494.53
44,642.99,437.16,614.2,430.85,604.68,620.03,639.63,740.44,563.92,535.32,471.72,698.04,625.91,541.01,581.95,494.6
45,642.99,436.77,614.74,430.85,605.11,620.04,639.67,740.4,564.23,535.12,471.69,697.81,626.11,540.99,582.34,494.51
46,642.92,436.44,614.8,430.74,605.18,620.03,639.76,740.4,564.27,535.01,471.69,697.7,626.13,540.96,582.47,494.35
47,642.53,436.17,615.14,430.63,605.18,620.04,639.82,740.11,564.39,535.02,471.71,697.68,626.15,540.82,582.56,494.11
48,642.38,436.14,615.17,430.65,604.71,620.2,639.84,739.9,564.41,535.02,471.72,697.64,626.25,540.83,582.64,494.12
49,642.23,436.09,615.8,430.67,604.65,620.49,639.82,739.42,565.04,535.55,471.74,697.61,626.25,540.82,582.78,494.1
50,642.22,436.01,615.87,430.66,604.61,620.52,639.8,739.08,565.06,535.99,471.81,697.61,626.24,540.98,582.78,494.09
51,642.43,436.02,615.88,430.68,604.59,620.52,639.76,738.81,565.14,536.09,471.98,697.58,626.24,541.15,582.78,494.12
52,643.15,436.11,615.88,430.74,604.59,620.35,639.72,738.62,565.1,535.82,472.39,697.58,626.15,541.14,582.39,494.09
53,643.9,436.25,615.82,430.85,604.59,620.17,639.67,738.6,564.95,535.62,472.92,697.58,626.07,541.17,582.14,494.09
