Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,597.9021835327148,423.38119983673096,562.0812606811523,483.12180519104,612.4142646789551,530.4493296146393,564.8952484130859,543.157045841217,499.4790458679199,719.4533658027649,102.29,84.18,188.04,49.19,359.42444229125977,334.984920501709,334.984920501709,24.43952178955078,0.0
2,598.956356048584,424.05714869499207,562.815055847168,483.2064235210418,612.8439903259277,531.2395083904266,555.7650947570801,542.21346616745,589.5285987854004,724.6234202384949,102.41,92.93,185.51,58.12,479.7198371887207,445.7513008117676,445.7513008117676,33.968536376953125,0.0
3,600.263671875,424.0603995323181,563.7511253356934,483.2145667076111,613.4392547607422,532.059942483902,554.2642593383789,541.5190100669861,594.0699005126953,725.2844023704529,102.83,93.12,188.03,59.93,600.5351829528809,556.7515983581543,556.7515983581543,43.78358459472656,0.0
4,601.4769744873047,424.1939413547516,563.8377571105957,484.1069376468658,613.6202430725098,532.9665398597717,553.831901550293,541.5010499954224,594.4182586669922,726.3512563705444,102.33,90.76,189.25,60.39,602.1250305175781,554.9110221862793,554.9110221862793,47.21400833129883,0.0
5,604.0767288208008,424.2186284065247,564.2465400695801,484.31540966033936,613.9837646484375,533.4025382995605,555.0014877319336,541.2536001205444,505.81615447998047,721.211907863617,101.09,89.32,186.56,59.5,603.9019088745117,555.1484870910645,555.1484870910645,48.753421783447266,0.0
6,605.8514213562012,424.2225229740143,565.3549575805664,484.3756628036499,614.8199844360352,533.8567543029785,555.6923675537109,541.0060858726501,543.3681678771973,724.875762462616,101.06,87.54,184.28,59.56,605.7066764831543,556.0094375610352,556.0094375610352,49.69723892211914,0.0
7,607.840747833252,424.0507113933563,566.656379699707,484.3566083908081,615.1265716552734,534.0434038639069,556.9524192810059,541.0187029838562,497.6343727111816,719.6152639389038,101.38,86.34,188.19,58.59,607.4390487670898,557.0727310180664,557.0727310180664,50.36631774902344,0.0
8,609.2875099182129,424.0740144252777,567.6908111572266,484.8228943347931,615.2658462524414,534.4833290576935,558.5690116882324,541.1437153816223,493.1134414672852,716.9292998313904,101.83,84.74,187.58,57.09,608.6280784606934,557.9042816162109,557.9042816162109,50.72379684448242,0.0
9,610.1388359069824,424.59012508392334,568.8394546508789,485.1088070869446,615.5279731750488,534.5921516418457,559.1483688354492,541.8204045295715,492.601203918457,716.1788392066956,102.35,88.78,186.63,56.84,609.8986587524414,558.603401184082,558.603401184082,51.295257568359375,0.0
10,610.0218772888184,425.0379037857056,570.190372467041,485.7194173336029,616.0414695739746,534.8314261436462,559.1592407226562,541.7141890525818,492.495174407959,715.3209400177002,103.69,92.47,185.97,57.3,610.9097785949707,559.0547218322754,559.0547218322754,51.85505676269531,0.0
11,612.2043228149414,425.5188345909119,572.0276069641113,486.0374844074249,617.9549217224121,535.3241693973541,559.1879653930664,541.7168283462524,491.5479469299317,714.561402797699,103.44,93.2,185.61,59.11,611.6645164489746,559.1635665893555,559.1635665893555,52.50094985961914,0.0
12,612.8963470458984,425.7609736919403,573.4627532958984,486.729816198349,619.3239784240723,536.0324013233185,559.2090225219727,541.9214701652527,490.47889709472656,713.9577770233154,104.18,94.17,185.26,60.4,612.500415802002,559.1754112243652,559.1754112243652,53.32500457763672,0.0
13,613.0611991882324,425.7507061958313,574.2069053649902,487.1346580982208,620.2358436584473,536.5391135215759,559.1132354736328,541.9939541816711,492.3915481567383,713.4914588928223,104.69,94.74,184.02,61.37,613.2679138183594,559.187370300293,559.187370300293,54.080543518066406,0.0
14,614.3183326721191,425.7957351207733,574.8095512390137,487.3705530166626,620.6860542297363,536.743723154068,559.207592010498,541.9936966896057,489.4108772277832,711.7398691177368,104.42,94.14,183.54,61.7,613.5745124816895,559.245002746582,559.245002746582,54.32950973510742,0.0
15,613.8593673706055,426.2140953540802,575.6033706665039,487.9867959022522,620.9053802490234,537.4642181396484,559.2190361022949,541.9839763641357,487.9728698730469,710.4437828063965,105.75,95.75,182.91,61.85,613.583381652832,559.2989387512207,559.2989387512207,54.28444290161133,0.0
16,613.7373161315918,426.412171125412,576.6348838806152,488.78984928131104,621.5469932556152,538.3653438091278,559.4761276245117,541.984748840332,485.67495346069336,709.9703192710876,107.08,95.94,183.48,62.18,613.5401000976562,559.4026565551758,559.4026565551758,54.13744354248047,0.0
17,612.9406929016113,426.68768763542175,577.485179901123,489.670375585556,622.280445098877,539.2245626449585,559.478702545166,541.2794137001038,483.69312286376953,709.3840742111206,108.51,96.57,184.4,62.84,613.1985282897949,559.4890594482422,559.4890594482422,53.709468841552734,0.0
18,612.8447914123535,426.7549896240234,578.3646011352539,489.9591529369354,622.8400611877441,539.9049532413483,559.6318244934082,540.8388447761536,482.5602722167969,708.541431427002,109.7,96.3,184.56,63.22,612.9340667724609,559.6794319152832,559.6794319152832,53.254634857177734,0.0
19,612.6104736328125,426.9391930103302,578.6473274230957,490.6956124305725,623.1649017333984,540.8300256729126,559.6396064758301,539.8861563205719,482.0312690734863,707.5534343719482,110.35,97.88,184.76,63.53,612.7052421569824,559.8553504943848,559.8553504943848,52.849891662597656,0.0
